dataset,engine,build_ms,index_bytes,startup_ms,peak_rss_kb
wands,solr,92410.0,28494523,132.7519416809082,564368
wands,elasticsearch,71828.0,28457637,49473.628282547,112764
wands,opensearch,75164.99999999999,28015110,39554.05902862549,3547776
esci_electronics,solr,25704.0,4229850,132.7519416809082,564368
esci_electronics,elasticsearch,7328.0,4452975,49473.628282547,112764
esci_electronics,opensearch,6356.0,4543016,39554.05902862549,3547776
esci_automotive,solr,21812.0,1689317,132.7519416809082,564368
esci_automotive,elasticsearch,2412.0,1739138,49473.628282547,112764
esci_automotive,opensearch,2114.0,1765130,39554.05902862549,3547776
esci_beauty,solr,25661.0,4056607,132.7519416809082,564368
esci_beauty,elasticsearch,3483.0,4127091,49473.628282547,112764
esci_beauty,opensearch,2889.0,4183809,39554.05902862549,3547776
magento,solr,4160.0,17928,132.7519416809082,564368
magento,elasticsearch,4160.0,17387,49473.628282547,112764
magento,opensearch,4160.0,16568,39554.05902862549,3547776
