experiment,method,rep_index,sample_ms
p1d_structural_exact_entity,commerce_native,0,0.193373
p1d_structural_exact_entity,commerce_native,1,0.09401999999999999
p1d_structural_exact_entity,commerce_native,2,0.154822
p1d_structural_exact_entity,commerce_native,3,0.08292200000000001
p1d_structural_exact_entity,commerce_native,4,0.151536
p1d_structural_exact_entity,commerce_native,5,0.09391999999999999
p1d_structural_exact_entity,commerce_native,6,0.097889
p1d_structural_exact_entity,commerce_native,7,0.239734
p1d_structural_exact_entity,commerce_native,8,0.087359
p1d_structural_exact_entity,commerce_native,9,0.467315
p1d_structural_exact_entity,commerce_native,10,0.08867799999999999
p1d_structural_exact_entity,commerce_native,11,0.329528
p1d_structural_exact_entity,commerce_native,12,0.068773
p1d_structural_exact_entity,commerce_native,13,0.082678
p1d_structural_exact_entity,commerce_native,14,0.168406
p1d_structural_exact_entity,commerce_native,15,0.159671
p1d_structural_exact_entity,commerce_native,16,0.188695
p1d_structural_exact_entity,commerce_native,17,0.040954000000000004
p1d_structural_exact_entity,commerce_native,18,0.270869
p1d_structural_exact_entity,commerce_native,19,0.102328
p1d_structural_exact_entity,commerce_native,20,0.134464
p1d_structural_exact_entity,commerce_native,21,0.10008
p1d_structural_exact_entity,commerce_native,22,0.1031
p1d_structural_exact_entity,commerce_native,23,0.080319
p1d_structural_exact_entity,commerce_native,24,0.11740199999999999
p1d_structural_exact_entity,commerce_native,25,0.080816
p1d_structural_exact_entity,commerce_native,26,0.099453
p1d_structural_exact_entity,commerce_native,27,0.167811
p1d_structural_exact_entity,commerce_native,28,0.117578
p1d_structural_exact_entity,commerce_native,29,0.13905499999999998
p1d_structural_exact_entity,tantivy_standalone,0,0.126492
p1d_structural_exact_entity,tantivy_standalone,1,1.5288599999999999
p1d_structural_exact_entity,tantivy_standalone,2,0.15656799999999998
p1d_structural_exact_entity,tantivy_standalone,3,12.519292
p1d_structural_exact_entity,tantivy_standalone,4,0.291572
p1d_structural_exact_entity,tantivy_standalone,5,0.391132
p1d_structural_exact_entity,tantivy_standalone,6,0.674316
p1d_structural_exact_entity,tantivy_standalone,7,2.164623
p1d_structural_exact_entity,tantivy_standalone,8,0.107685
p1d_structural_exact_entity,tantivy_standalone,9,0.075832
p1d_structural_exact_entity,tantivy_standalone,10,0.115602
p1d_structural_exact_entity,tantivy_standalone,11,0.10018099999999999
p1d_structural_exact_entity,tantivy_standalone,12,0.115889
p1d_structural_exact_entity,tantivy_standalone,13,0.170613
p1d_structural_exact_entity,tantivy_standalone,14,0.089699
p1d_structural_exact_entity,tantivy_standalone,15,0.326225
p1d_structural_exact_entity,tantivy_standalone,16,0.108273
p1d_structural_exact_entity,tantivy_standalone,17,0.226661
p1d_structural_exact_entity,tantivy_standalone,18,13.106428
p1d_structural_exact_entity,tantivy_standalone,19,0.532096
p1d_structural_exact_entity,tantivy_standalone,20,0.248175
p1d_structural_exact_entity,tantivy_standalone,21,1.445635
p1d_structural_exact_entity,tantivy_standalone,22,0.109987
p1d_structural_exact_entity,tantivy_standalone,23,0.126993
p1d_structural_exact_entity,tantivy_standalone,24,2.323838
p1d_structural_exact_entity,tantivy_standalone,25,0.186076
p1d_structural_exact_entity,tantivy_standalone,26,0.5011749999999999
p1d_structural_exact_entity,tantivy_standalone,27,0.129577
p1d_structural_exact_entity,tantivy_standalone,28,0.12249700000000001
p1d_structural_exact_entity,tantivy_standalone,29,0.072575
p1d_structural_exact_entity,solr,0,1.912061
p1d_structural_exact_entity,solr,1,1.75614
p1d_structural_exact_entity,solr,2,2.60749
p1d_structural_exact_entity,solr,3,4.2147950000000005
p1d_structural_exact_entity,solr,4,2.68269
p1d_structural_exact_entity,solr,5,3.087991
p1d_structural_exact_entity,solr,6,2.4166209999999997
p1d_structural_exact_entity,solr,7,1.945779
p1d_structural_exact_entity,solr,8,2.0120139999999997
p1d_structural_exact_entity,solr,9,2.14129
p1d_structural_exact_entity,solr,10,3.262703
p1d_structural_exact_entity,solr,11,2.79898
p1d_structural_exact_entity,solr,12,1.711786
p1d_structural_exact_entity,solr,13,2.33253
p1d_structural_exact_entity,solr,14,1.701728
p1d_structural_exact_entity,solr,15,5.205315000000001
p1d_structural_exact_entity,solr,16,2.7482990000000003
p1d_structural_exact_entity,solr,17,2.274425
p1d_structural_exact_entity,solr,18,1.7204519999999999
p1d_structural_exact_entity,solr,19,3.222579
p1d_structural_exact_entity,solr,20,2.848734
p1d_structural_exact_entity,solr,21,2.637035
p1d_structural_exact_entity,solr,22,2.304292
p1d_structural_exact_entity,solr,23,2.028089
p1d_structural_exact_entity,solr,24,1.8469529999999998
p1d_structural_exact_entity,solr,25,1.9207670000000001
p1d_structural_exact_entity,solr,26,1.6945020000000002
p1d_structural_exact_entity,solr,27,1.535446
p1d_structural_exact_entity,solr,28,2.348248
p1d_structural_exact_entity,solr,29,1.682952
p1d_selective_multi_attribute_structural,commerce_native,0,0.012461
p1d_selective_multi_attribute_structural,commerce_native,1,0.011652
p1d_selective_multi_attribute_structural,commerce_native,2,0.009130000000000001
p1d_selective_multi_attribute_structural,commerce_native,3,0.012799999999999999
p1d_selective_multi_attribute_structural,commerce_native,4,0.014531
p1d_selective_multi_attribute_structural,commerce_native,5,0.011816
p1d_selective_multi_attribute_structural,commerce_native,6,0.011241
p1d_selective_multi_attribute_structural,commerce_native,7,0.011412
p1d_selective_multi_attribute_structural,commerce_native,8,0.018886
p1d_selective_multi_attribute_structural,commerce_native,9,0.026366
p1d_selective_multi_attribute_structural,commerce_native,10,0.013042
p1d_selective_multi_attribute_structural,commerce_native,11,0.013059
p1d_selective_multi_attribute_structural,commerce_native,12,0.009226999999999999
p1d_selective_multi_attribute_structural,commerce_native,13,0.016687
p1d_selective_multi_attribute_structural,commerce_native,14,0.012436
p1d_selective_multi_attribute_structural,commerce_native,15,0.011466
p1d_selective_multi_attribute_structural,commerce_native,16,0.016239
p1d_selective_multi_attribute_structural,commerce_native,17,0.013972
p1d_selective_multi_attribute_structural,commerce_native,18,0.013117
p1d_selective_multi_attribute_structural,commerce_native,19,0.012594
p1d_selective_multi_attribute_structural,commerce_native,20,0.019364999999999997
p1d_selective_multi_attribute_structural,commerce_native,21,0.010968
p1d_selective_multi_attribute_structural,commerce_native,22,0.008919999999999999
p1d_selective_multi_attribute_structural,commerce_native,23,0.011803000000000001
p1d_selective_multi_attribute_structural,commerce_native,24,0.012176
p1d_selective_multi_attribute_structural,commerce_native,25,0.011011
p1d_selective_multi_attribute_structural,commerce_native,26,0.061181
p1d_selective_multi_attribute_structural,commerce_native,27,0.01133
p1d_selective_multi_attribute_structural,commerce_native,28,0.011831000000000001
p1d_selective_multi_attribute_structural,commerce_native,29,0.009782
p1d_selective_multi_attribute_structural,tantivy_standalone,0,0.50111
p1d_selective_multi_attribute_structural,tantivy_standalone,1,0.39775
p1d_selective_multi_attribute_structural,tantivy_standalone,2,0.320173
p1d_selective_multi_attribute_structural,tantivy_standalone,3,0.5222169999999999
p1d_selective_multi_attribute_structural,tantivy_standalone,4,1.7806689999999998
p1d_selective_multi_attribute_structural,tantivy_standalone,5,0.794792
p1d_selective_multi_attribute_structural,tantivy_standalone,6,0.31885600000000003
p1d_selective_multi_attribute_structural,tantivy_standalone,7,0.38390199999999997
p1d_selective_multi_attribute_structural,tantivy_standalone,8,0.377822
p1d_selective_multi_attribute_structural,tantivy_standalone,9,0.307786
p1d_selective_multi_attribute_structural,tantivy_standalone,10,1.20451
p1d_selective_multi_attribute_structural,tantivy_standalone,11,0.908383
p1d_selective_multi_attribute_structural,tantivy_standalone,12,0.33678100000000005
p1d_selective_multi_attribute_structural,tantivy_standalone,13,0.470595
p1d_selective_multi_attribute_structural,tantivy_standalone,14,0.295917
p1d_selective_multi_attribute_structural,tantivy_standalone,15,1.507556
p1d_selective_multi_attribute_structural,tantivy_standalone,16,1.2045210000000002
p1d_selective_multi_attribute_structural,tantivy_standalone,17,1.448148
p1d_selective_multi_attribute_structural,tantivy_standalone,18,1.383736
p1d_selective_multi_attribute_structural,tantivy_standalone,19,0.372608
p1d_selective_multi_attribute_structural,tantivy_standalone,20,0.361493
p1d_selective_multi_attribute_structural,tantivy_standalone,21,0.41884499999999997
p1d_selective_multi_attribute_structural,tantivy_standalone,22,0.26104999999999995
p1d_selective_multi_attribute_structural,tantivy_standalone,23,1.181063
p1d_selective_multi_attribute_structural,tantivy_standalone,24,0.392116
p1d_selective_multi_attribute_structural,tantivy_standalone,25,0.65967
p1d_selective_multi_attribute_structural,tantivy_standalone,26,0.340272
p1d_selective_multi_attribute_structural,tantivy_standalone,27,0.292663
p1d_selective_multi_attribute_structural,tantivy_standalone,28,0.351483
p1d_selective_multi_attribute_structural,tantivy_standalone,29,0.812619
p1d_selective_multi_attribute_structural,solr,0,4.302156
p1d_selective_multi_attribute_structural,solr,1,2.097403
p1d_selective_multi_attribute_structural,solr,2,1.704714
p1d_selective_multi_attribute_structural,solr,3,1.807192
p1d_selective_multi_attribute_structural,solr,4,1.921033
p1d_selective_multi_attribute_structural,solr,5,1.590633
p1d_selective_multi_attribute_structural,solr,6,1.9022489999999999
p1d_selective_multi_attribute_structural,solr,7,1.598433
p1d_selective_multi_attribute_structural,solr,8,2.0902220000000002
p1d_selective_multi_attribute_structural,solr,9,1.584203
