experiment,method,metric,n,mean,stddev,min,p10,p25,p50,p75,p90,p95,p99,max
p1d_structural_exact_entity,commerce_native,latency_ms,30,0.14345159999999998,0.08794258579621217,0.040954000000000004,0.0807663,0.0899885,0.11025099999999999,0.16577599999999998,0.24284750000000005,0.30313144999999986,0.4273567700000001,0.467315
p1d_structural_exact_entity,tantivy_standalone,latency_ms,30,1.2731522333333334,3.1952906607194724,0.072575,0.0991328,0.11567374999999999,0.1783445,0.52436575,2.1805445000000003,7.93133769999997,12.93615856,13.106428
p1d_structural_exact_entity,solr,latency_ms,30,2.4200895333333334,0.8023982788339628,1.535446,1.7010054,1.86323,2.2893584999999996,2.73189675,3.2265914,3.7863535999999978,4.918064200000002,5.205315000000001
p1d_selective_multi_attribute_structural,commerce_native,latency_ms,30,0.014683366666666668,0.009468944056787679,0.008919999999999999,0.0097265,0.0113505,0.012306,0.01375825,0.0189339,0.02321554999999998,0.05108465000000003,0.061181
p1d_selective_multi_attribute_structural,tantivy_standalone,latency_ms,30,0.6636368666666667,0.4463369222094783,0.26104999999999995,0.3065991,0.34307475,0.4082975,0.8844420000000001,1.3901772000000001,1.4808223999999999,1.70146623,1.7806689999999998
p1d_selective_multi_attribute_structural,solr,latency_ms,30,1.874599866666667,0.5524038302453873,1.272312,1.4795198999999999,1.5854845,1.7335029999999998,2.05730375,2.1922213,2.532263649999998,3.8547770600000013,4.302156
p1d_variant_scoped_structural,commerce_native,latency_ms,30,0.0397138,0.06170405006961134,0.004923,0.0085444,0.01131475,0.014974499999999998,0.017961249999999998,0.14868610000000004,0.16156145,0.2338077500000001,0.263192
p1d_variant_scoped_structural,tantivy_standalone,latency_ms,30,1.8784811,2.1132830375795715,0.180646,0.2056686,0.4536865,0.947051,2.6923684999999997,4.460209400000003,6.493324599999999,7.668107090000001,8.111163
p1d_variant_scoped_structural,solr,latency_ms,30,1.7584934333333335,0.45527016148108435,1.253357,1.379151,1.44128075,1.6174615,1.961242,2.2076448000000006,2.642765899999999,3.1102834400000003,3.243557
p1d_range_plus_structural,commerce_native,latency_ms,30,1078.3455942333333,175.6844904958719,841.2801460000001,855.8735147,866.5595579999999,1190.0935235,1219.41658275,1240.3129032,1247.58544745,1260.24635237,1263.946418
p1d_range_plus_structural,tantivy_standalone,latency_ms,30,3.3475606666666664,0.708904800313901,2.365201,2.5795380999999997,2.62452225,3.4488725000000002,4.0071414999999995,4.0698971,4.16451245,4.35091984,4.426698
p1d_range_plus_structural,solr,latency_ms,30,3.376824866666667,2.1646945596242784,1.58235,2.2863766,2.794892,3.145994,3.3292977500000003,3.4583902000000006,3.8841768499999993,11.450617650000009,14.502988
p1d_structural_plus_lexical_residual,commerce_native,latency_ms,30,11.404281133333333,11.982027203108135,0.253008,0.365103,0.9717,7.1463205,23.779519,28.8264055,32.059141299999986,34.79860905,35.032568
p1d_structural_plus_lexical_residual,tantivy_standalone,latency_ms,30,15.422003766666668,13.958567455288389,2.4051799999999997,3.2390468,6.0352575,10.8790755,22.068326000000003,38.53917940000001,46.17745245,46.97530158,47.246451
p1d_structural_plus_lexical_residual,solr,latency_ms,30,2.398171266666666,0.47314919982674075,1.3657759999999999,1.6459800000000002,2.154071,2.459717,2.6872055,2.7765856999999996,2.9009309499999993,3.4109262700000005,3.580906
p1d_structural_plus_semantic_residual,commerce_native,latency_ms,30,6.174634366666666,4.768531885028372,0.355988,0.4727815,2.5646224999999996,4.854451,11.191332,12.7505321,14.239116299999996,15.06295017,15.157005
p1d_structural_plus_semantic_residual,tantivy_standalone,latency_ms,30,6.8359328,9.125592413703302,1.0473270000000001,1.1780301,1.44305875,1.930285,8.973964,11.545848100000004,26.174871449999937,36.894215720000005,37.104388
p1d_structural_plus_semantic_residual,solr,latency_ms,30,1.9138864666666666,0.6309329830241132,0.994831,1.1894268000000001,1.3238085,1.9779710000000001,2.2005654999999997,2.5037665,2.7614284499999986,3.6163474100000013,3.8908240000000003
p1d_lexical_first,commerce_native,latency_ms,30,7.101101266666666,7.661197939829221,0.216619,1.7059069000000004,2.698091,5.4190965,6.7050072499999995,11.198883600000025,28.15636205,29.08199485,29.428671
p1d_lexical_first,tantivy_standalone,latency_ms,30,11.567771233333334,12.536726787902856,0.33827599999999997,0.8023276000000001,3.9721105000000003,9.1058025,11.905102,23.68285340000003,44.0137494,46.989012280000004,48.144218
p1d_lexical_first,solr,latency_ms,30,2.073711566666667,0.3179464188907094,1.2365080000000002,1.6850001000000001,1.856994,2.1580700000000004,2.2776435,2.4259464000000004,2.4892645499999997,2.50549721,2.5079770000000003
p1d_ambiguous_punt,commerce_native,latency_ms,30,7.280881666666667,4.926090162827943,1.322472,2.9004578000000003,3.68201,5.2247625,10.90028675,15.3393443,16.35136835,17.93183716,18.575694
p1d_ambiguous_punt,tantivy_standalone,latency_ms,30,17.84090596666666,9.174313880562798,4.037324,5.811070800000001,9.216232,18.806448,22.71042525,28.807510100000002,31.751213649999986,37.11963402,38.344235
p1d_ambiguous_punt,solr,latency_ms,30,1.8351584000000003,0.3495543894372792,0.957379,1.2924454,1.747836,1.930024,2.04020375,2.1305597,2.21617585,2.32116378,2.359913
p1d_long_tail_noisy,commerce_native,latency_ms,30,4.551902066666668,2.5643993774721023,0.356689,2.0876826000000004,2.2822612500000004,4.0534435,6.43780625,7.3483782000000035,9.4976003,9.62756083,9.659685
p1d_long_tail_noisy,tantivy_standalone,latency_ms,30,4.726870166666666,3.204571433980537,0.401639,0.4327705,2.6999085,4.0878295,6.9149192500000005,9.600285600000001,9.73876275,11.337877090000001,11.98547
p1d_long_tail_noisy,solr,latency_ms,30,1.5839554666666669,0.35767104030492763,0.870176,1.1068179,1.225491,1.723337,1.83873175,1.9400064000000001,2.0636259,2.1352220600000003,2.143222
p1d_structural_exact_entity,commerce_native,latency_ms,30,0.013068166666666665,0.004930135292844115,0.004364,0.007568400000000001,0.01003425,0.012869499999999999,0.01393375,0.020540100000000002,0.02235879999999999,0.02405569,0.024415
p1d_structural_exact_entity,tantivy_standalone,latency_ms,30,1.1806170333333335,3.1343681821983425,0.060414999999999996,0.0732614,0.08718799999999999,0.14225,0.41941175,1.4804271000000009,7.577963349999971,12.744908310000001,13.012625
p1d_structural_exact_entity,solr,latency_ms,30,1.0578518,0.24632541115535597,0.7686729999999999,0.8703133000000001,0.93426425,0.9868975,1.06843625,1.3090491000000002,1.552377549999999,1.8438842100000001,1.895171
p1d_selective_multi_attribute_structural,commerce_native,latency_ms,30,0.012746299999999997,0.004301982944146122,0.008457999999999999,0.009605099999999998,0.01007425,0.011516499999999999,0.01409275,0.018433200000000004,0.022125999999999993,0.025597,0.026466999999999997
p1d_selective_multi_attribute_structural,tantivy_standalone,latency_ms,30,0.6215814000000001,0.4518708876940632,0.231723,0.2571401,0.2953205,0.3999435,0.80046375,1.2682022000000004,1.53483135,1.60510971,1.627092
p1d_selective_multi_attribute_structural,solr,latency_ms,30,1.0330772666666665,0.5435490293456029,0.738302,0.8047350000000001,0.8487257500000001,0.912014,0.9853577499999999,1.0272834000000002,1.5039674499999978,3.1833787400000015,3.726054
p1d_variant_scoped_structural,commerce_native,latency_ms,30,0.0159286,0.0059317695016487,0.004934,0.010478100000000002,0.01212175,0.015564999999999999,0.01738525,0.0234987,0.02673844999999999,0.030233390000000002,0.030845
p1d_variant_scoped_structural,tantivy_standalone,latency_ms,30,1.648935533333333,1.7803439943671044,0.156883,0.15891570000000002,0.37825024999999995,0.7849984999999999,2.4067612499999997,4.5467327000000015,5.638136949999999,5.79294141,5.81738
p1d_variant_scoped_structural,solr,latency_ms,30,0.9173390333333333,0.20016942787246997,0.709119,0.7411473000000001,0.79269075,0.8455715,0.96204125,1.2035657000000002,1.3422378499999998,1.44890523,1.484782
p1d_range_plus_structural,commerce_native,latency_ms,30,42.25598496666667,4.105881469101749,36.844483,37.293067,38.207019249999995,44.3679995,45.23917275,46.5526635,47.57343209999999,50.32854406,51.120791
p1d_range_plus_structural,tantivy_standalone,latency_ms,30,3.0655741,0.6601341811925162,2.16206,2.3740543,2.4331395000000002,3.1221449999999997,3.6537535,3.7748981,3.8456026,4.0594585,4.145544999999999
p1d_range_plus_structural,solr,latency_ms,30,1.7995410333333335,0.3536561934683402,1.038461,1.2928519,1.4796065,1.9306100000000002,2.05079725,2.1465192,2.21185205,2.24806618,2.249997
p1d_structural_plus_lexical_residual,commerce_native,latency_ms,30,11.357895966666666,12.264728877772539,0.273464,0.33764839999999996,0.98259725,7.0064965,23.415979749999998,30.5736747,32.43311464999999,34.16662101,34.262881
p1d_structural_plus_lexical_residual,tantivy_standalone,latency_ms,30,15.803087366666668,15.039143402672117,2.018601,2.8718765,5.6680885,10.48541,22.29428575,37.62384560000002,49.84885685,51.13278259,51.390978
p1d_structural_plus_lexical_residual,solr,latency_ms,30,1.7466475666666665,0.41784246693813176,0.9944750000000001,1.1049803,1.48011125,1.8719445000000001,1.9828605,2.0541523,2.08507475,2.7088805600000008,2.95745
