experiment,method,rep_index,sample_ms
p3e01_fallback_baseline,solr_baseline,0,2.257552
p3e01_fallback_baseline,solr_baseline,1,2.892965
p3e01_fallback_baseline,solr_baseline,2,2.9491650000000003
p3e01_fallback_baseline,solr_baseline,3,2.827577
p3e01_fallback_baseline,solr_baseline,4,2.611275
p3e01_fallback_baseline,solr_baseline,5,2.579049
p3e01_fallback_baseline,solr_baseline,6,2.9657970000000002
p3e01_fallback_baseline,solr_baseline,7,2.3513710000000003
p3e01_fallback_baseline,solr_baseline,8,2.463027
p3e01_fallback_baseline,solr_baseline,9,2.727275
p3e01_fallback_baseline,solr_baseline,10,2.2753159999999997
p3e01_fallback_baseline,solr_baseline,11,3.1971220000000002
p3e01_fallback_baseline,solr_baseline,12,2.651295
p3e01_fallback_baseline,solr_baseline,13,2.560626
p3e01_fallback_baseline,solr_baseline,14,2.647833
p3e01_fallback_baseline,solr_baseline,15,2.315495
p3e01_fallback_baseline,solr_baseline,16,2.823638
p3e01_fallback_baseline,solr_baseline,17,2.341906
p3e01_fallback_baseline,solr_baseline,18,2.080316
p3e01_fallback_baseline,solr_baseline,19,3.0563550000000004
p3e01_fallback_baseline,solr_baseline,20,2.502513
p3e01_fallback_baseline,solr_baseline,21,3.852604
p3e01_fallback_baseline,solr_baseline,22,2.649246
p3e01_fallback_baseline,solr_baseline,23,2.141564
p3e01_fallback_baseline,solr_baseline,24,2.689658
p3e01_fallback_baseline,solr_baseline,25,2.164762
p3e01_fallback_baseline,solr_baseline,26,1.9666140000000003
p3e01_fallback_baseline,solr_baseline,27,2.071586
p3e01_fallback_baseline,solr_baseline,28,2.130967
p3e01_fallback_baseline,solr_baseline,29,2.065271
p3e01_fallback_baseline,admission_then_solr,0,2.491949
p3e01_fallback_baseline,admission_then_solr,1,2.504997
p3e01_fallback_baseline,admission_then_solr,2,2.744081
p3e01_fallback_baseline,admission_then_solr,3,2.717215
p3e01_fallback_baseline,admission_then_solr,4,2.819176
p3e01_fallback_baseline,admission_then_solr,5,2.7654870000000003
p3e01_fallback_baseline,admission_then_solr,6,3.079376
p3e01_fallback_baseline,admission_then_solr,7,2.282326
p3e01_fallback_baseline,admission_then_solr,8,2.6555099999999996
p3e01_fallback_baseline,admission_then_solr,9,2.119969
p3e01_fallback_baseline,admission_then_solr,10,2.427552
p3e01_fallback_baseline,admission_then_solr,11,2.4551149999999997
p3e01_fallback_baseline,admission_then_solr,12,2.206873
p3e01_fallback_baseline,admission_then_solr,13,2.34618
p3e01_fallback_baseline,admission_then_solr,14,2.577743
p3e01_fallback_baseline,admission_then_solr,15,2.639856
p3e01_fallback_baseline,admission_then_solr,16,2.489909
p3e01_fallback_baseline,admission_then_solr,17,2.108949
p3e01_fallback_baseline,admission_then_solr,18,2.4344599999999996
p3e01_fallback_baseline,admission_then_solr,19,2.7140150000000003
p3e01_fallback_baseline,admission_then_solr,20,2.1879560000000002
p3e01_fallback_baseline,admission_then_solr,21,2.710998
p3e01_fallback_baseline,admission_then_solr,22,2.810793
p3e01_fallback_baseline,admission_then_solr,23,2.299928
p3e01_fallback_baseline,admission_then_solr,24,2.80113
p3e01_fallback_baseline,admission_then_solr,25,2.6135289999999998
p3e01_fallback_baseline,admission_then_solr,26,2.3686610000000003
p3e01_fallback_baseline,admission_then_solr,27,1.809909
p3e01_fallback_baseline,admission_then_solr,28,2.243933
p3e01_fallback_baseline,admission_then_solr,29,2.520826
