qid,candidates,native_ndcg,native_recall,native_mrr,solr_ndcg,solr_recall,solr_mrr,native_hit_count,solr_hit_count
3299,92,0,0,0,0,0,0,10,10
6871,25,0.6274092458891771,0.4166666666666667,1,0.37859880603906115,0.25,1,10,10
7430,59,0.5423640154200348,0.21052631578947367,1,0,0,0,10,10
7716,120,0,0,0,0,0,0,10,10
8826,80,0,0,0,0,0,0,10,10
9001,53,0,0,0,0.49118023727106,0.25,1,10,10
9570,26,0,0,0,0.22009176629808014,0.02857142857142857,1,10,10
10018,50,0.4690000933206747,0.125,1,0.3683756341388872,0.16666666666666666,0.3333333333333333,10,10
10296,69,0.1610425878239398,0.125,0.25,0.06943122193677725,0.0625,0.125,10,10
10297,0,-0,0,0,-0,0,0,0,0
10525,160,0,0,0,0.08514311764162098,0.0625,0.2,10,10
10918,76,0,0,0,0,0,0,10,10
10928,30,0.7909506325094736,0.4375,1,0.8482378089219647,0.5,1,10,10
12673,28,0.9363792118010483,0.6,1,0.4666234168001788,0.3333333333333333,0.5,10,10
12906,29,0.0636207881989517,0.0625,0.1,0.420217226795578,0.3125,0.3333333333333333,10,10
14098,57,0.0636207881989517,0.03225806451612903,0.1,0.47289350335945446,0.1935483870967742,0.3333333333333333,10,10
14419,35,0.6410457898283652,0.24242424242424243,0.3333333333333333,1,0.30303030303030304,1,10,10
14781,118,0,0,0,0,0,0,10,10
14917,48,0.12987501165334073,0.09523809523809523,0.1111111111111111,0.46270962158308354,0.19047619047619047,1,10,10
16995,31,0.6371523797895855,0.3333333333333333,1,0.43810818083050457,0.26666666666666666,1,10,10
19734,25,0,0,0,0,0,0,10,10
20130,38,0,0,0,0.34948673995165525,0.25,0.3333333333333333,10,10
20270,56,1,0.22727272727272727,1,0.5365535816822092,0.11363636363636363,1,10,10
20734,197,0.5309999066793252,0.4375,0.25,0.06625422345438903,0.0625,0.1111111111111111,10,10
22400,841,0,0,0,0,0,0,10,10
22606,29,0.2878557712823307,0.3,0.2,0.3215312426799525,0.3,0.3333333333333333,10,10
24224,26,0.27267015568947806,0.25,0.14285714285714285,0.8454256604216017,0.5,1,10,10
24707,0,-0,0,0,-0,0,0,0,0
25026,41,0.279901702223461,0.07142857142857142,1,0,0,0,10,10
26317,0,-0,0,0,-0,0,0,0,0
26432,102,0,0,0,0.07336392209936005,0.0625,0.14285714285714285,10,10
26975,203,0,0,0,0,0,0,10,10
28658,639,0,0,0,0,0,0,10,10
29221,31,1,0.6666666666666666,1,0.727329844310522,0.4,1,10,10
29450,0,-0,0,0,-0,0,0,0,0
29891,522,0,0,0,0,0,0,10,10
30047,143,0,0,0,0,0,0,10,10
30251,0,-0,0,0,-0,0,0,0,0
30669,570,0,0,0,0,0,0,10,10
31410,59,0,0,0,0,0,0,10,10
31644,135,0,0,0,0.07839826897867533,0.037037037037037035,0.16666666666666666,10,10
32467,26,1,0.625,1,0.7728378251807518,0.4375,1,10,10
33812,120,0,0,0,0.1388624438735545,0.0625,0.5,10,10
34261,60,0,0,0,0,0,0,10,10
35728,39,0.8603818544462509,0.5,1,0.615406227586239,0.375,1,10,10
35852,122,0,0,0,0,0,0,10,10
36582,40,0,0,0,0,0,0,10,10
36672,34,1,0.25,1,1,0.25,1,10,10
37356,49,0.7799082337019198,0.5625,0.5,0.3995688713838975,0.1875,1,10,10
37971,43,0,0,0,0.18340980524840012,0.125,0.3333333333333333,10,10
38699,29,0.6410457898283652,0.5,0.3333333333333333,0.7799082337019198,0.5625,0.5,10,10
40113,124,0,0,0,0.6620158551732015,0.15,1,10,10
40241,313,0,0,0,0,0,0,10,10
40337,27,0.27267015568947806,0.10526315789473684,0.14285714285714285,0.686596474384843,0.18421052631578946,1,10,10
40690,55,0.12987501165334073,0.05128205128205128,0.1111111111111111,0.20511666732794356,0.05128205128205128,0.5,10,10
40812,113,0,0,0,0,0,0,10,10
41747,26,1,0.625,1,0.46785915648013915,0.375,0.3333333333333333,10,10
42226,123,0.3063365306564336,0.12121212121212122,0.2,0,0,0,10,10
42227,0,-0,0,0,-0,0,0,0,0
42408,111,0,0,0,0.1396181455537491,0.125,0.14285714285714285,10,10
43776,33,0,0,0,0,0,0,10,10
44400,202,0,0,0,0,0,0,10,10
44674,41,0.43621154230977444,0.16216216216216217,0.2,0.6429424283490954,0.16216216216216217,1,10,10
44807,41,0.716287445502968,0.5,0.5,0.09478836436955078,0.0625,0.25,10,10
46776,93,0.19930623359011798,0.08108108108108109,0.125,0,0,0,10,10
47419,75,0.0636207881989517,0.0625,0.1,0,0,0,10,10
48102,25,0.5309999066793252,0.4375,0.25,0.7510916729774053,0.5,1,10,10
51077,53,0,0,0,0,0,0,10,10
51916,286,0,0,0,0,0,0,10,10
51954,0,-0,0,0,0.35388057316851623,0.25,0.5,0,10
55055,25,0.43621154230977444,0.375,0.2,0.5513310624619329,0.3125,1,10,10
55586,27,1,0.45454545454545453,1,0.70937536504841,0.3181818181818182,1,10,10
56131,214,0,0,0,0,0,0,10,10
56146,39,0.27267015568947806,0.25,0.14285714285714285,0.13698471029831175,0.125,0.14285714285714285,10,10
57285,92,0,0,0,0.24936270394794904,0.1875,0.25,10,10
58757,257,0,0,0,0.06625422345438903,0.0625,0.1111111111111111,10,10
58766,121,0,0,0,0,0,0,10,10
58965,417,0,0,0,0,0,0,10,10
59524,67,0,0,0,0.16354138662029633,0.13333333333333333,0.2,10,10
60199,203,0,0,0,0,0,0,10,10
60634,136,0,0,0,0.1388624438735545,0.0625,0.5,10,10
61366,0,-0,0,0,-0,0,0,0,0
61480,555,0,0,0,0,0,0,10,10
62807,125,0,0,0,0.25284102718517737,0.1875,0.3333333333333333,10,10
63246,139,0,0,0,0,0,0,10,10
