max_candidates,admitted,coverage_pct,native_ndcg_mean,solr_ndcg_on_admitted_mean,ndcg_delta_on_admitted,whole_workload_ndcg,whole_workload_degradation,zero_result_native,zero_result_solr_on_admitted,false_positive_admissions
1,20,0.0890551251224508,-0,0.027076238392830333,-0.027076238392830333,0.23348414945817128,0.000024112777979173883,20,17,2
2,21,0.09350788137857334,0.017093057627220697,0.04287995133467816,-0.025786893707457462,0.23348414945817128,0.000024112777979173883,20,17,2
3,21,0.09350788137857334,0.017093057627220697,0.04287995133467816,-0.025786893707457462,0.23348414945817128,0.000024112777979173883,20,17,2
5,21,0.09350788137857334,0.017093057627220697,0.04287995133467816,-0.025786893707457462,0.23348414945817128,0.000024112777979173883,20,17,2
10,21,0.09350788137857334,0.017093057627220697,0.04287995133467816,-0.025786893707457462,0.23348414945817128,0.000024112777979173883,20,17,2
20,21,0.09350788137857334,0.017093057627220697,0.04287995133467816,-0.025786893707457462,0.23348414945817128,0.000024112777979173883,20,17,2
30,45,0.2003740315255143,0.22543170441261556,0.2854175921977993,-0.05998588778518371,0.2333880660944489,0.00012019614170155624,20,17,5
50,82,0.3651260130020483,0.2427945392446529,0.3034389254418477,-0.06064438619719478,0.23328683380671902,0.0002214284294314306,20,17,16
75,114,0.5076142131979695,0.20034603567985293,0.28665559920399675,-0.08630956352414382,0.23307014262435272,0.0004381196117977382,20,17,31
100,123,0.5476890195030724,0.18782418771782358,0.26991882493668995,-0.08209463721886637,0.23305863892250178,0.0004496233136486727,20,17,34
150,151,0.6723661946745035,0.16221095852708847,0.2364666620987648,-0.07425570357167632,0.23300899198771666,0.0004992702484337974,20,17,46
250,164,0.7302520260040966,0.1525905770992054,0.22136013593011883,-0.06876955883091343,0.23300607113951352,0.0005021910966369336,20,17,50
500,174,0.7747795885653219,0.14382100370269935,0.21054526995999073,-0.06672426625729139,0.23299129624056888,0.0005169659955815697,20,17,53
1000,180,0.8014961261020572,0.13902697024594268,0.20522284364987828,-0.0661958734039356,0.23297770487517835,0.0005305573609721004,20,17,54
2500,183,0.8148543948704248,0.13674783958617315,0.2018585347375852,-0.06511069515141205,0.23297770487517835,0.0005305573609721004,20,17,54
5000,183,0.8148543948704248,0.13674783958617315,0.2018585347375852,-0.06511069515141205,0.23297770487517835,0.0005305573609721004,20,17,54
10000,183,0.8148543948704248,0.13674783958617315,0.2018585347375852,-0.06511069515141205,0.23297770487517835,0.0005305573609721004,20,17,54
50000,183,0.8148543948704248,0.13674783958617315,0.2018585347375852,-0.06511069515141205,0.23297770487517835,0.0005305573609721004,20,17,54
200000,183,0.8148543948704248,0.13674783958617315,0.2018585347375852,-0.06511069515141205,0.23297770487517835,0.0005305573609721004,20,17,54
