qid,combined_count,residual_token_count,native_ndcg,native_recall,native_mrr,solr_ndcg,solr_recall,solr_mrr,native_hit_count,solr_hit_count
479,10,6,0.8043754776986981,0.5384615384615384,1,0.5022037311331264,0.3076923076923077,0.5,10,10
530,5,3,0,0,0,0,0,0,5,10
537,1,6,0.22009176629808014,0.06666666666666667,1,0.866947989864271,0.5333333333333333,1,1,10
539,2,3,0.35895421017163465,0.16666666666666666,1,0.4985723557253837,0.3333333333333333,1,2,10
553,1,6,0,0,0,0.4706076096766094,0.29411764705882354,0.5,1,10
605,3,3,0.1388624438735545,0.0625,0.5,0.11004588314904007,0.0625,0.3333333333333333,3,10
720,1,4,0,0,0,0,0,0,1,10
1179,84,3,1,0.6666666666666666,1,0.4886446891881012,0.26666666666666666,1,10,10
1198,6,5,0.4171972249899344,0.3076923076923077,0.3333333333333333,0.873650206202574,0.6153846153846154,1,6,10
1199,94,4,0,0,0,0,0,0,10,10
1213,2748,2,0,0,0,0.09478836436955078,0.0625,0.25,10,10
1219,121,3,0.4225051418507037,0.1875,1,0,0,0,10,10
1224,11,5,0.7108484438309631,0.4,1,0.6797786416500051,0.4,1,10,10
1226,30,7,0.27101810670716664,0.08695652173913043,1,0,0,0,10,10
1230,4,7,0.1388624438735545,0.029411764705882353,0.5,0.21222636597291455,0.08823529411764706,0.5,4,10
1231,17,4,0.11004588314904007,0.0625,0.3333333333333333,0,0,0,10,10
1236,18,3,0,0,0,0.09011733826062779,0.2,0.1,10,10
1242,57,4,0.9214535246064988,0.625,1,0.18660113481564067,0.0625,1,10,10
1266,3,5,0.4690000933206747,0.1875,1,0.5011665573206625,0.3125,1,3,10
1278,6,6,0.08036473447498932,0.043478260869565216,0.25,0,0,0,6,10
1286,31,4,0.2024832320725062,0.07142857142857142,0.5,0,0,0,10,10
1291,3,5,0.08727946987580751,0.1111111111111111,0.3333333333333333,0,0,0,3,10
1299,1,2,0,0,0,0,0,0,1,8
1304,3,4,0,0,0,0,0,0,3,10
1310,4,5,0,0,0,0,0,0,4,10
1318,9,5,0.716287445502968,0.5333333333333333,0.5,0.7695261902392829,0.4666666666666667,1,9,10
1330,10,5,0,0,0,0,0,0,10,10
1386,5294,3,0,0,0,0,0,0,10,10
1397,40,4,0,0,0,0,0,0,10,10
1402,145,4,0,0,0,0.1388624438735545,0.0625,0.5,10,10
1406,1711,3,0,0,0,0.06243697865825647,0.03225806451612903,0.2,10,10
1413,934,6,0,0,0,0,0,0,10,10
1414,10,5,0,0,0,0,0,0,10,10
1423,32,4,0,0,0,0.14514605925250643,0.0625,0.5,10,10
1435,4,7,0,0,0,0,0,0,4,10
1486,11,3,0.45833728241774596,0.125,0.5,0.4616496194586812,0.125,0.25,10,10
1503,1,4,0.17169261031494448,0.06666666666666667,1,0.29732121851066645,0.2,1,1,10
1509,56,4,0,0,0,0.20764239128505763,0.23076923076923078,0.3333333333333333,10,10
1521,1,8,0.29740901205864334,0.0625,1,0.3965453494115244,0.125,1,1,10
1530,2,5,0.35895421017163465,0.08695652173913043,1,0.579881577361546,0.21739130434782608,1,2,10
1553,5,3,0.4896141557188043,0.1875,1,0.3714752203410368,0.1875,1,5,10
1566,84,3,0,0,0,0.4447551423209717,0.25,1,10,10
1568,103,3,0,0,0,0.04241385879930114,0.043478260869565216,0.1,10,10
1574,12,2,0,0,0,0,0,0,10,10
