max_lexical_narrowed_candidates,admitted,coverage_pct_of_residual_rejected,coverage_pct_of_whole_corpus,native_ndcg_mean,solr_ndcg_on_admitted_mean,ndcg_delta_on_admitted,whole_workload_ndcg,whole_workload_degradation,zero_result_native,zero_result_solr_on_admitted,false_positive_admissions
1,783,4.534398888116748,3.4865081485439484,0.1456046048114012,0.2902312029210142,-0.14462659810961298,0.2284658441080973,0.005042418128053144,0,0,126
2,1358,7.864257586286773,6.0468429958144085,0.18787479499151113,0.33031146330351646,-0.14243666831200533,0.22489534053485505,0.008612921701295406,0,0,182
3,1815,10.510771369006253,8.081752604862409,0.20978713842249835,0.3466841401577469,-0.13689700173524855,0.22244458523243463,0.011063677003715827,0,0,220
5,2547,14.749826268241833,11.341170184344108,0.24328093755938882,0.3679773152857352,-0.12469637772634637,0.21936623382449488,0.014142028411655572,0,0,264
10,3711,21.49061848505907,16.524178466470747,0.3043192171434206,0.41010786077765904,-0.10578864363423846,0.216027557964773,0.017480704271377462,0,0,313
20,5097,29.51702571230021,22.695698637456584,0.34263579004692085,0.4478183626928533,-0.10518257264593245,0.20963634252930813,0.023871919706842326,0,0,446
30,5862,33.94718554551772,26.10205717339033,0.32715667283959243,0.4433445941603064,-0.11618792132071398,0.20318082458444647,0.03032743765170398,0,0,673
50,6765,39.176511466296034,30.12289607266898,0.29921734851234844,0.42860469607909685,-0.1293873475667484,0.1945330459974386,0.03897521623871186,0,0,1121
75,7435,43.05652073198981,33.10624276427108,0.27865428975011103,0.4166761135232195,-0.13802182377310845,0.18781442219015396,0.0456938400459965,0,0,1525
100,7901,45.75515404215891,35.18122717962419,0.26494754302575274,0.40600972907094024,-0.1410621860451875,0.18388085409905228,0.04962740813709818,0,0,1817
150,8550,49.5135510771369,38.07106598984771,0.24685598640742865,0.39111581666999207,-0.14425983026256342,0.17858700706005096,0.0549212551760995,0,0,2223
250,9328,54.018994672226086,41.53531035711105,0.22743439179171626,0.37391169301476784,-0.14647730122305158,0.17266846057043883,0.060839801665711624,0,0,2720
500,10227,59.22515635858235,45.538338231365216,0.2080652897985033,0.3541939774372074,-0.14612868763870407,0.16696368620618543,0.06654457602996502,0,0,3239
1000,10878,62.99513551077137,48.43708255410099,0.19567251058622726,0.3398282392155674,-0.14415572862934012,0.1636834329534942,0.06982482928265626,0,0,3558
2500,11398,66.00648598563818,50.7525158072847,0.18674553168599578,0.3281965036894992,-0.14145097200350343,0.16171833531051744,0.07178992692563302,0,0,3768
5000,11611,67.23998146861247,51.70095288983882,0.183319745944103,0.32306495582169414,-0.13974520987759115,0.16125865711153362,0.07224960512461684,0,0,3829
10000,11706,67.79013203613621,52.12396473417045,0.18183201521928755,0.32064468402654833,-0.1388126688072608,0.16115359570049592,0.07235466653565453,0,0,3848
50000,11782,68.2302524901552,52.46237420963576,0.18065910457961126,0.3186926197058304,-0.13803351512621914,0.16109260299592207,0.07241565924022839,0,0,3859
200000,11791,68.28237201760481,52.50244901594087,0.18052120856220677,0.31844936352930997,-0.1379281549671032,0.16109260299592207,0.07241565924022839,0,0,3859
