qid,combined_count,native_ndcg,native_recall,native_mrr,solr_ndcg,solr_recall,solr_mrr,native_hit_count,solr_hit_count
720,1,0,0,0,0,0,0,1,10
1236,18,0,0,0,0.09011733826062779,0.2,0.1,10,10
1299,1,0,0,0,0,0,0,1,8
1835,2,0.2542008779489662,0.125,1,0.2542008779489662,0.125,1,2,8
1867,16,1,0.625,1,1,0.625,1,10,10
3352,3,0,0,0,0,0,0,3,10
3619,1,0.29740901205864334,0.0625,1,0.3828004051609265,0.125,1,1,10
3938,2,0.35895421017163465,0.125,1,0.7167674835027337,0.4375,1,2,10
3940,3,0.3222722491219546,0.14285714285714285,0.5,0.8347528992401554,0.6428571428571429,1,3,10
4380,254,0,0,0,0.08514311764162098,0.0625,0.2,10,10
4429,1,0.22009176629808014,0.07142857142857142,1,0.2895229882348574,0.14285714285714285,1,1,10
4588,23,0.12987501165334073,0.125,0.1111111111111111,0.4920062203073636,0.25,1,10,10
4589,19,0,0,0,0.3183191637810562,0.25,0.3333333333333333,10,10
4592,8,0.787291221417595,0.5,1,0.7425769714145167,0.5,1,8,8
4593,44,0,0,0,0.22009176629808014,0.0625,1,10,10
4594,27,0.3725907541108227,0.13513513513513514,0.2,0.5057958659478398,0.16216216216216217,0.5,10,10
4596,233,0,0,0,0,0,0,10,10
4698,3,0.37519712029518015,0.18181818181818182,1,0.37519712029518015,0.18181818181818182,1,3,10
4864,1,0,0,0,0,0,0,1,10
5021,75,0.1388624438735545,0.0625,0.5,0,0,0,10,10
5115,3,0,0,0,0,0,0,3,3
5339,1,0.26742619438551957,0.0625,1,0.26742619438551957,0.0625,1,1,10
5520,6,0.49367903606741653,0.25,1,0.7222954974312066,0.375,1,6,10
5538,7,0.4170606134915054,0.25,0.5,0.3683756341388872,0.25,0.3333333333333333,7,10
5741,16,0.1356854453911663,0.13333333333333333,0.125,0,0,0,10,10
6060,4,0.1388624438735545,0.0625,0.5,0.1388624438735545,0.0625,0.5,4,10
6296,87,0.2583297509898471,0.12,0.25,0,0,0,10,10
6316,5,0.09478836436955078,0.06666666666666667,0.25,0.4972338571580798,0.3333333333333333,1,5,10
6636,12,1,0.6666666666666666,1,1,0.6666666666666666,1,10,10
6637,2,0.40652716006074996,0.16666666666666666,1,0.3456882995191705,0.16666666666666666,1,2,10
6656,37,0.35895421017163465,0.14285714285714285,1,0,0,0,10,10
6663,15,0,0,0,0.0728781195196487,0.06666666666666667,0.1111111111111111,10,10
6665,6,0.4012479439685138,0.2222222222222222,1,0.26238458908655027,0.2222222222222222,0.3333333333333333,6,10
6683,78,0,0,0,0,0,0,10,10
6685,8,0.15862952835945127,0.13333333333333333,0.16666666666666666,0,0,0,8,10
6690,1,0.22009176629808014,0.02702702702702703,1,0.6809047493604334,0.16216216216216217,1,1,10
6699,20,0,0,0,0,0,0,10,10
6725,35,0,0,0,0,0,0,10,10
6727,13,0.25617367829355947,0.2857142857142857,0.5,0.546216915252498,0.42857142857142855,1,10,10
6742,50,0.35106842466815336,0.3333333333333333,0.16666666666666666,0.1388624438735545,0.06666666666666667,0.5,10,10
