max_lexical_narrowed_candidates,admitted,coverage_pct_of_anchored_pool,coverage_pct_of_whole_corpus,native_ndcg_mean,solr_ndcg_on_admitted_mean,ndcg_delta_on_admitted,whole_workload_ndcg,whole_workload_degradation,zero_result_native,zero_result_solr_on_admitted,false_positive_admissions
1,240,5.218525766470972,1.0686615014694094,0.13370476486806174,0.23346556238995728,-0.09976079752189554,0.2324421569994751,0.0010661052366753576,0,0,18
2,382,8.306153511632964,1.7009528898388102,0.17834896003039835,0.2866005094366575,-0.10825154940625914,0.23166695437822954,0.0018413078579209152,0,0,26
3,482,10.480539247662534,2.1462285154510643,0.20342888084813057,0.3141986756532454,-0.11076979480511481,0.23113088931353687,0.0023773729226135853,0,0,31
5,631,13.720373994346597,2.8096891976133227,0.23557726562841416,0.3409117574783798,-0.10533449184996566,0.23054869039728168,0.002959571838868774,0,0,36
10,877,19.069362904979343,3.9050672366194674,0.2989176199758001,0.38853575595741624,-0.08961813598161616,0.23000861376986412,0.003499648466286337,0,0,42
20,1110,24.135681669928243,4.94255944429602,0.3321960924352441,0.41822872177988885,-0.08603262934464473,0.22925604838930147,0.0042522138468489845,0,0,57
30,1234,26.831919982604912,5.494701220055214,0.32404056858114033,0.4174513569651787,-0.09341078838403838,0.22837561850715055,0.005132643728999908,0,0,91
50,1348,29.310719721678623,6.002315433253184,0.3092032399154076,0.4054230522432615,-0.09621981232785387,0.2277328455909496,0.005775416645200843,0,0,130
75,1422,30.919765166340508,6.331819396206252,0.29555050373952235,0.3956945272410476,-0.10014402350152524,0.22716732353194086,0.006340938704209598,0,0,175
100,1455,31.637312459230266,6.478760352658296,0.2895047307202735,0.3901934813652538,-0.10068875064498028,0.22698487937977785,0.006523382856372606,0,0,195
150,1497,32.550554468362684,6.665776115415442,0.28192826825531586,0.38204130744929216,-0.1001130391939763,0.22683495118114316,0.006673311055007292,0,0,212
250,1526,33.181126331811264,6.794906046842995,0.27691495877104694,0.3767884943237618,-0.09987353555271489,0.22672194932968448,0.006786312906465974,0,0,227
500,1545,33.59425962165688,6.879508415709325,0.2735095320936036,0.3731786685209022,-0.09966913642729858,0.226651515607771,0.0068567466283794565,0,0,237
1000,1550,33.702978908458356,6.9017721969899375,0.27262724328039845,0.3720221979270279,-0.09939495464662945,0.22664824889113996,0.0068600133450104905,0,0,238
2500,1553,33.768210480539246,6.915130465758304,0.27210059696369454,0.37135402772432186,-0.09925343076062731,0.22664475800731335,0.006863504228837108,0,0,239
5000,1555,33.81169819525984,6.92403597827055,0.2717506283502364,0.3708764019651909,-0.0991257736149545,0.22664475800731335,0.006863504228837108,0,0,239
10000,1556,33.833442052620136,6.928488734526672,0.27157598141684935,0.37063804952176854,-0.09906206810491919,0.22664475800731335,0.006863504228837108,0,0,239
50000,1557,33.85518590998043,6.932941490782794,0.2714015588212059,0.3704000032471881,-0.09899844442598216,0.22664475800731335,0.006863504228837108,0,0,239
200000,1557,33.85518590998043,6.932941490782794,0.2714015588212059,0.3704000032471881,-0.09899844442598216,0.22664475800731335,0.006863504228837108,0,0,239
