max_candidates,admitted,coverage_pct_of_eligible,coverage_pct_of_whole_corpus,native_ndcg_mean,solr_ndcg_on_admitted_mean,ndcg_delta_on_admitted,whole_workload_ndcg,whole_workload_degradation,false_positive_admissions
1,20,2.4271844660194173,0.0890551251224508,0.18651140255054136,0.23480861562647853,-0.04829721307593718,0.23346525109261546,0.00004301114353549851,0
2,52,6.310679611650485,0.2315433253183721,0.28540879740094244,0.3159022649654461,-0.030493467564503662,0.23343765664734714,0.00007060558880381262,1
3,73,8.859223300970873,0.32505120669694537,0.29453089852246506,0.33497145569178827,-0.04044055716932321,0.23337680971707708,0.00013145251907387134,1
5,102,12.37864077669903,0.4541811381244991,0.3361770359249274,0.3839269288218646,-0.04774989289693715,0.23329139122913856,0.00021687100701239803,1
10,172,20.87378640776699,0.7658740760530769,0.4496086643443778,0.496091891892771,-0.04648322754839318,0.2331522592466453,0.000356002989505666,1
20,279,33.859223300970875,1.2423189954581888,0.5481641183145546,0.6213093531450159,-0.07314523483046131,0.23259956508958016,0.0009086971465707971,5
30,335,40.65533980582524,1.4916733458010507,0.5086979166519404,0.5978384174074145,-0.08914050075547408,0.2321785771460685,0.0013296850900824664,16
50,376,45.63106796116505,1.6742363523020751,0.4689014233385781,0.5800711936767674,-0.11116977033818931,0.23164701752837877,0.001861244707772186,33
75,407,49.39320388349515,1.8122717962418737,0.4416199387617851,0.5631801327887459,-0.12156019402696078,0.23130526112434402,0.002203001111806935,53
100,425,51.577669902912625,1.8924214088520792,0.42737153074895357,0.5522393655472557,-0.12486783479830216,0.23114523659765834,0.0023630256384926107,64
150,457,55.46116504854369,2.034909609048001,0.3985605900089937,0.5294198814774524,-0.13085929146845876,0.23084539393972764,0.0026628682964233152,85
250,503,61.04368932038835,2.2397363968296378,0.3627079930893474,0.49800301683729,-0.13529502374794256,0.23047801034616952,0.0030302518899814335,115
500,559,67.83980582524272,2.4890907471724995,0.32771791385265814,0.4655888009685854,-0.13787088711592727,0.2300765307419044,0.0034317314942465538,151
1000,620,75.24271844660194,2.760708878795975,0.29547469974779983,0.4319316599226982,-0.1364569601748984,0.2297410828208681,0.0037671794152828453,185
2500,673,81.6747572815534,2.996704960370469,0.27220551834121237,0.40366666981950405,-0.13146115147829168,0.2295687593888415,0.003939502847309456,202
5000,722,87.62135922330097,3.2148900169204735,0.2537317366255345,0.3783534555468197,-0.12462171892128521,0.22950181103563655,0.004006451200514405,216
10000,767,93.08252427184466,3.415264048445988,0.23884525924854746,0.35735798019299714,-0.11851272094444967,0.2294607398849007,0.004047522351250249,226
50000,816,99.02912621359224,3.633449104995993,0.22450283559269107,0.3363010209628802,-0.11179818537018915,0.22944613207041675,0.004062130165734201,229
200000,823,99.87864077669903,3.6646183987888508,0.22259333395338507,0.3334406234577282,-0.11084728950434311,0.22944613207041675,0.004062130165734201,229
