qid,ratio,resolved_count,native_ndcg,solr_ndcg,native_hit_count
13429,25,25,0.1388624438735545,0.05451379554009877,10
17297,19.65660051768766,22782,0,0,10
19851,50.885245901639344,2,0.26742619438551957,0.18075808045899236,2
20538,45.75,1,0.22009176629808014,0.7663491917568946,1
21221,17,68,0,0.06943122193677725,10
24645,38,38,0,0,10
25717,448,448,0,0,10
26627,14,28,0,0.09478836436955078,10
39035,80,80,0,0,10
41423,167,167,0,0,10
41496,14.714285714285714,103,0,0,10
45970,17,34,0,0,10
54887,35,35,0,0,10
58730,20.814003650240583,27,0.800693766409882,0.4233117951052935,10
69722,13,26,0,0,10
76923,26,52,0,0,10
80107,37,74,0,0.1356854453911663,10
80136,26.81145584725537,11234,0,0,10
86394,21.454428754813865,1,0.22009176629808014,0.92663607790064,1
87485,1.4166666666666667,68,0,0.07336392209936005,10
89271,23,46,0,0,10
93470,16.224719101123597,17328,0,0,10
94192,10,30,0,0,10
99616,19.65660051768766,2,0.35895421017163465,0.7183627972686238,2
103421,163,163,0,0.04241385879930114,10
106035,25,25,0,0,10
106781,93,186,0,0.06943122193677725,10
111387,23.736503856041132,17,0,0.06943122193677725,10
111893,166.5,333,0,0.03668196104968002,10
