qid,applied_triggers,native_ndcg,solr_ndcg
3673,in 4k,0.1884441521277154,0.48649183542828267
4183,xbox gift|xbox gift card,0.29740901205864334,0.6785008044950671
4274,47 brand,0.6489315753318465,0.9547715182029446
5210,7artisans 35mm,1,1
9335,annie chun,0.6199462085736674,0.7007249908422912
12538,badass beard,0.800693766409882,0.6835381846158708
12682,balaclava women,0,0
18974,bowers wilkins,0.5637884576902256,1
19818,brighton fashionista,1,1
20965,bye blemish,1,1
22266,candle followers,1,1
26177,chuckit pro,0.5487973376826973,0.8871572324938345
28417,conan the barbarian,0.727329844310522,0.933564588803294
30576,cubre bocas,0.3667314583167897,0.25430127623392856
35124,dr brandt,0.6782961487391511,0.7890540506597234
35142,dr browns,0.25430127623392856,0.3372905462485835
35151,dr denese,0.35895421017163465,0.7909506325094736
36523,car alarm system,0.6039094289265273,0.9134841129412019
40617,first hill,1,1
40697,fisher price,0.4011248950259844,0.7167674835027337
40705,fisher price,0.4361533373077281,0.4361533373077281
41250,flexikold gel,0.5182281048448001,0.5767758031063227
42387,tv frames,0.6410457898283652,0.8512360941594272
43822,gabor women,0.6489315753318465,0.6968404678259544
47427,biotech brand|greenway biotech|greenway biotech brand,0.7799082337019198,0.933745776545611
49497,hawaiian shirts for,0,0
50073,heidi heckelbeck,1,1
50290,hermes terre,1,1
50311,and curl mascara,0.6718650345289592,0.7893432297007831
50429,elite trainer|elite trainer box|trainer box,0.16872714292220853,0.41599630237747487
51395,hot dots,0.8369256770986023,0.929640810185802
52286,hydroshot portable|hydroshot portable power,0.6410457898283652,0.841492960259019
52747,catholic study|catholic study bible|ignatius catholic|ignatius catholic study,0.7799082337019198,1
56764,jym pre|jym pre workout,0.4920062203073636,0.24618570546556082
57572,kickee pants,0.727329844310522,0.6621137423456801
58883,knit interfacing,0.92663607790064,1
59382,la roche|la roche posay|roche posay,0.2605834823075072,0.803332608803466
62669,size women,0,0
62984,little people,0.6489315753318465,0.6325414799409711
63376,lol surprise omg|surprise omg,0.22009176629808014,0.45374257454118544
64127,ludlow slip|ludlow slip on,1,1
65002,magnum nutraceuticals,1,1
65445,mane choice,0.19930623359011798,0.914856882358379
70652,have snacks|morejstu must|morejstu must have|must have snacks,1,1
71033,khakis women|mountain khakis women,0.4361533373077281,0.8675241956752285
72304,native deodorant,0.23198135741909093,0.2134190485129175
73988,nitto nt421q,1,1
74339,north face,0.5806020001118017,0.5224955967919309
74348,north face,0.4690000933206747,0.16421958630632802
74384,norton 360,0.5487973376826973,0.7419673643177533
75432,oled tv,0,0
76997,oz ultraleggera,0.9363792118010483,1
78882,pepcid ac,0.6500332220485789,0.8454256604216017
79166,ignitor ii,0.9477344873475498,0.9432379215722527
82569,porter cable,0.32821601394269817,0.47202423432895085
82571,porter cable,0.26742619438551957,0.3320916946272092
82572,porter cable,0.1388624438735545,0.4482145606127126
83721,protandim nrf2,0.6189610486769023,0.7884407279677962
84173,pulse tail,1,0.9363792118010483
85768,ray tracing,0.5309999066793252,0.41153259956303256
87155,calcium without|without d3,0.4151577146114119,0.7318317512413369
88146,rodan fields,0.22009176629808014,0.22009176629808014
88190,rog strix,0.24926098697416302,0.24926098697416302
91818,repair lipidium,0.640469595039523,0.7065674066041719
92187,rug 5x7,0,0
93917,sk ii,1,1
95026,smart pixelator,1,1
95216,smooth move,1,0.914856882358379
95296,snap pullover,0.3079033201523544,0.3269563644556953
96041,sonicwall tz300,1,1
97584,stanwood wind,0.96331803895032,0.96331803895032
99303,super colon|super colon cleanse,1,0.7034066032439745
102435,swiss colony|the swiss,0.7799082337019198,0.8611375561264454
102571,therma hoodie,0.47207331052714424,0.5216414792035848
104016,tommy jeans,0.6489315753318465,0.6489315753318465
104192,top max,0.2900757977385809,0.24630238874072996
104681,concentrace trace|concentrace trace mineral,0.4617285568034221,0.7385158985806739
106445,ultimate sherpa|ultimate sherpa throw,0.679605484453288,0.7849818707050382
106999,de 50|uno de,0.3126667288804499,0.9537125187088151
107943,vapormax plus,0.305560916762982,0.6851198693323689
108947,vitamin code,0.32570104495038144,0.42427840936187455
111664,wikki stix,0.5309999066793252,0.7353797772725617
112292,hazel facial|witch hazel facial,0.5079937796926363,0.6300426811446145
114333,design bobby|xd design|xd design bobby,0.3667314583167897,0.5600305932318571
115900,mini naturals,0.22009176629808014,0.5423640154200348
