trigger,brand_id,catalog_purity,matched_queries,newly_admitted,native_ndcg_mean,solr_ndcg_mean,false_positives,false_positive_rate,decision
% nike,3656,0.98,1,0,0,0,0,0,REJECT (no coverage)
& paykel,63742,0.8,1,0,0,0,0,0,REJECT (no coverage)
(thermos funtainer,7139,0.9523809523809523,1,0,0,0,0,0,REJECT (no coverage)
) umbra,1645,0.98,1,0,0,0,0,0,REJECT (no coverage)
- nu skin,71505,0.8181818181818182,1,0,0,0,0,0,REJECT (no coverage)
- space gray,3147,0.94,2,0,0,0,0,0,REJECT (no coverage)
2 airpod,15662,0.8333333333333334,1,0,0,0,0,0,REJECT (no coverage)
207 impact,844,0.9,1,0,0,0,0,0,REJECT (no coverage)
222 fifth adelaide,6957,1,1,0,0,0,0,0,REJECT (no coverage)
3-in-1 car seat,4308,0.8461538461538461,1,0,0,0,0,0,REJECT (no coverage)
32gb - space,3147,1,1,0,0,0,0,0,REJECT (no coverage)
35 running,3656,0.96,1,0,0,0,0,0,REJECT (no coverage)
35 running shoe,3656,1,1,0,0,0,0,0,REJECT (no coverage)
4 year home,3173,1,1,0,0,0,0,0,REJECT (no coverage)
40k space marine,9557,0.8,1,0,0,0,0,0,REJECT (no coverage)
47 brand,9696,0.92,1,1,0.6489315753318465,0.9547715182029446,0,0,PROMOTE
5.11 tactical,10329,0.96,1,0,0,0,0,0,REJECT (no coverage)
7 shoes,11798,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
7 year olds,25766,0.84,2,0,0,0,0,0,REJECT (no coverage)
7.5 narrow,12100,0.8,1,0,0,0,0,0,REJECT (no coverage)
7artisans 35mm,9455,1,1,1,1,1,0,0,PROMOTE
7x-45x simul-focal,17979,1,1,0,0,0,0,0,REJECT (no coverage)
a cable,5,0.92,1,0,0,0,0,0,REJECT (no coverage)
a gun,149007,0.8333333333333334,3,0,0,0,0,0,REJECT (no coverage)
a strip,2673,0.8461538461538461,1,0,0,0,0,0,REJECT (no coverage)
a strip display,2673,0.8181818181818182,1,0,0,0,0,0,REJECT (no coverage)
acqua di gio,13510,0.8787878787878788,1,0,0,0,0,0,REJECT (no coverage)
ad supported,3140,1,1,0,0,0,0,0,REJECT (no coverage)
aden anais,13911,0.98,1,0,0,0,0,0,REJECT (no coverage)
adidas baby,274,1,1,0,0,0,0,0,REJECT (no coverage)
adidas men's,274,0.96,1,0,0,0,0,0,REJECT (no coverage)
adidas men's essentials,274,1,1,0,0,0,0,0,REJECT (no coverage)
adidas women,274,0.88,2,0,0,0,0,0,REJECT (no coverage)
advocare spark,14581,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
age defender,64579,0.8181818181818182,1,0,0,0,0,0,REJECT (no coverage)
age perfect,78,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
air force 1,3656,1,3,0,0,0,0,0,REJECT (no coverage)
air jordan,3656,0.82,1,0,0,0,0,0,REJECT (no coverage)
air max,3656,1,2,0,0,0,0,0,REJECT (no coverage)
air zoom,3656,1,1,0,0,0,0,0,REJECT (no coverage)
air zoom pegasus,3656,1,1,0,0,0,0,0,REJECT (no coverage)
alex and,148,0.96,1,0,0,0,0,0,REJECT (no coverage)
all clad,16602,0.9,1,0,0,0,0,0,REJECT (no coverage)
all star low,8790,1,1,0,0,0,0,0,REJECT (no coverage)
always infinity,17244,1,1,0,0,0,0,0,REJECT (no coverage)
amazon basic,29016,1,1,0,0,0,0,0,REJECT (no coverage)
amelia bedelia,22433,0.9411764705882353,1,0,0,0,0,0,REJECT (no coverage)
an elephant,59221,0.8421052631578947,1,0,0,0,0,0,REJECT (no coverage)
an elephant and,59221,1,1,0,0,0,0,0,REJECT (no coverage)
and ani,148,0.98,1,0,0,0,0,0,REJECT (no coverage)
and curl mascara,95787,0.8,1,1,0.6718650345289592,0.7893432297007831,0,0,PROMOTE
and piggie,59221,0.8947368421052632,3,0,0,0,0,0,REJECT (no coverage)
and piggie book,59221,0.9444444444444444,1,0,0,0,0,0,REJECT (no coverage)
and stick wall,8041,0.98,1,0,0,0,0,0,REJECT (no coverage)
annie chun,18664,1,1,1,0.6199462085736674,0.7007249908422912,0,0,PROMOTE
apple ipad,3147,1,3,0,0,0,0,0,REJECT (no coverage)
apple ipad pro,3147,1,1,0,0,0,0,0,REJECT (no coverage)
apple iphone,3147,0.88,6,0,0,0,0,0,REJECT (no coverage)
apple iphone 11,3147,0.82,2,0,0,0,0,0,REJECT (no coverage)
apple iphone 7,3147,0.98,1,0,0,0,0,0,REJECT (no coverage)
armour mens,487,1,1,0,0,0,0,0,REJECT (no coverage)
armour short,487,1,2,0,0,0,0,0,REJECT (no coverage)
armour short sleeve,487,1,1,0,0,0,0,0,REJECT (no coverage)
armour women,487,1,1,0,0,0,0,0,REJECT (no coverage)
armour youth,487,1,1,0,0,0,0,0,REJECT (no coverage)
asics women,11798,0.98,1,0,0,0,0,0,REJECT (no coverage)
asrock -,12353,0.86,1,0,0,0,0,0,REJECT (no coverage)
asurion 4,3173,1,1,0,0,0,0,0,REJECT (no coverage)
