class,group_kind,group_key,group_bucket,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
brand_filter_first_page,brand,neotec,tiny (2-10),2,2,true,0.00013373333333333332,0.000103,0.000335,1.1674884333333333,1.164952,1.8526,8729.97333000997
color_facet_under_brand_filter,brand,neotec,tiny (2-10),1,1,true,133.6006006,131.134263,146.854852,1.9497002666666665,1.790362,6.240604,0.014593499265052453
color_facet_under_brand_filter_scan,brand,neotec,tiny (2-10),1,1,true,0.00025893333333333336,0.000237,0.000654,1.9497002666666665,1.790362,6.240604,7529.738414006178
sort_title_under_brand_filter,brand,neotec,tiny (2-10),2,2,true,0.0002499,0.000218,0.001026,0.9908161333333333,0.983676,1.342079,3964.850473522742
brand_filter_first_page,brand,milk snob,small (11-100),12,12,true,0.00011563333333333334,0.000105,0.000227,2.1223852333333335,2.115337,2.566853,18354.441337561257
color_facet_under_brand_filter,brand,milk snob,small (11-100),8,8,true,133.1644142,133.249173,141.241573,1.8150478,1.589118,4.373834,0.013630126418563857
color_facet_under_brand_filter_scan,brand,milk snob,small (11-100),8,8,true,0.0024925666666666666,0.002425,0.003636,1.8150478,1.589118,4.373834,728.1842545167632
sort_title_under_brand_filter,brand,milk snob,small (11-100),12,12,true,0.0010289666666666666,0.000871,0.003873,2.5855046666666666,2.220168,10.496423,2512.719556836956
brand_filter_first_page,brand,clairol,medium (101-1,000),116,116,true,0.00029936666666666666,0.00028,0.000509,2.275672533333333,2.185839,4.522459,7601.6229818505735
color_facet_under_brand_filter,brand,clairol,medium (101-1,000),86,86,true,165.1071892,165.177732,173.580528,1.9572268666666668,1.838086,5.112554,0.011854280096161112
color_facet_under_brand_filter_scan,brand,clairol,medium (101-1,000),86,86,true,0.0292075,0.027662,0.048928,1.9572268666666668,1.838086,5.112554,67.0111055950241
sort_title_under_brand_filter,brand,clairol,medium (101-1,000),24,24,true,0.010650333333333335,0.009558,0.017185,2.0634524666666665,2.056478,2.319603,193.74534130387153
deep_pagination_under_brand_filter,brand,clairol,medium (101-1,000),24,24,true,0.0004358,0.000414,0.000703,2.4373007999999996,2.405876,3.045189,5592.704910509407
brand_filter_first_page,brand,simple joys by carter's,large (1,001-10,000),1249,1249,true,0.0010254666666666668,0.00032,0.02045,2.870024566666667,2.766094,3.948385,2798.7497399557924
color_facet_under_brand_filter,brand,simple joys by carter's,large (1,001-10,000),437,437,true,198.92534709999998,198.647434,209.381418,2.9908642333333333,2.837924,6.788303,0.015035108782943698
color_facet_under_brand_filter_scan,brand,simple joys by carter's,large (1,001-10,000),437,437,true,0.7027784,0.661516,1.025052,2.9908642333333333,2.837924,6.788303,4.255771425720161
sort_title_under_brand_filter,brand,simple joys by carter's,large (1,001-10,000),24,24,true,0.16287703333333334,0.158392,0.238668,2.764087433333333,2.698715,3.623857,16.97039402526773
deep_pagination_under_brand_filter,brand,simple joys by carter's,large (1,001-10,000),24,24,true,0.0005223,0.0005,0.000822,2.7844947666666666,2.758517,4.782109,5331.21724424022
color_filter_first_page,color,S2 Black,tiny (2-10),2,2,true,0.00017796666666666666,0.000132,0.000878,1.2073735,1.195981,1.733732,6784.2676531185625
brand_facet_under_color_filter,color,S2 Black,tiny (2-10),2,2,true,42.706698833333334,41.303897,52.575225,1.4668820333333334,1.369941,3.855672,0.03434782067932645
brand_facet_under_color_filter_scan,color,S2 Black,tiny (2-10),2,2,true,0.00018826666666666667,0.000178,0.000298,1.4668820333333334,1.369941,3.855672,7791.512216713882
sort_title_under_color_filter,color,S2 Black,tiny (2-10),2,2,true,0.00027706666666666666,0.000251,0.000897,1.1900047,1.172075,1.785094,4295.012151106834
color_filter_first_page,color,Subalpine,small (11-100),28,28,true,0.00022586666666666666,0.000213,0.000401,1.9986593333333333,1.98733,2.392072,8848.845926800472
brand_facet_under_color_filter,color,Subalpine,small (11-100),28,28,true,80.08469373333334,78.983379,94.938357,1.4739577333333334,1.396469,3.240638,0.018404986828585868
brand_facet_under_color_filter_scan,color,Subalpine,small (11-100),28,28,true,0.0012018333333333332,0.00066,0.016485,1.4739577333333334,1.396469,3.240638,1226.4244071557346
sort_title_under_color_filter,color,Subalpine,small (11-100),24,24,true,0.0026401,0.002487,0.005751,2.372471533333333,2.315627,3.041746,898.6294206027549
color_filter_first_page,color,Grey/White,medium (101-1,000),106,106,true,0.00041106666666666667,0.000386,0.000785,3.3285727,3.224975,4.465359,8097.403584171262
brand_facet_under_color_filter,color,Grey/White,medium (101-1,000),104,104,true,156.44863033333334,154.029233,173.476778,1.9021491333333334,1.799705,4.774313,0.012158298409392062
brand_facet_under_color_filter_scan,color,Grey/White,medium (101-1,000),104,104,true,0.010224466666666668,0.009823,0.016798,1.9021491333333334,1.799705,4.774313,186.03895883729874
