color,candidates,native_scan_mean_ms,solr_mean_ms,counts_match,native_count,solr_count,ratio_solr_over_native
Brown/a,497,0.0245695,2.1102221,false,434,432,85.88787317609231
Matte Black,1510,0.19328533333333334,2.4121593999999997,true,588,588,12.479784981098755
Stainless Steel,3104,0.49782486666666664,2.5908591666666667,false,855,846,5.204358681426521
Orange,4532,1.1158355333333334,2.6461932000000004,false,493,486,2.3714903504596525
black,6027,1.6517200333333335,3.1386808999999998,false,858,845,1.900249943488203
Multi,7186,1.9558028,2.393943,false,1993,1981,1.2240206425719402
Gray,8910,2.4692342666666667,2.8894699,false,956,944,1.1701886447172258
Grey,11112,3.1754472000000002,3.4282707,false,1423,1417,1.0796182345592142
Green,11612,3.4192207999999997,3.0263522333333333,false,1269,1244,0.8850999717050544
Multicolor,15219,3.7722723,3.032507433333333,false,5139,5089,0.8038940967578966
Silver,17328,4.839755266666667,4.527333566666666,false,2289,2253,0.9354467978676992
Blue,22782,6.378389966666667,3.4669306666666664,false,1741,1701,0.5435432271756311
