tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
2x,85988,1343.97,15413890,179.26,363892,color_facet_under_depth1_crossover_sweep,Rugs,4004,4004,true,2.5729105666666667,2.5577,2.9732,1.3012,1.2636,2.0639,0.51
2x,85988,1343.97,15413890,179.26,363892,color_facet_under_depth1_crossover_sweep,Storage & Organization,4350,4350,true,3.3042887999999997,3.2408,3.9498,1.3200,1.2857,1.6095,0.40
2x,85988,1343.97,15413890,179.26,363892,color_facet_under_depth1_crossover_sweep,Lighting,4144,4144,true,2.6039202,2.5662,3.0691,1.3356,1.2921,2.8594,0.51
2x,85988,1343.97,15413890,179.26,363892,color_facet_under_depth1_crossover_sweep,Outdoor,6788,6788,true,6.610114533333333,6.4344,7.9739,1.3359,1.3228,1.6727,0.20
2x,85988,1343.97,15413890,179.26,363892,color_facet_under_depth1_crossover_sweep,Décor & Pillows,9224,9224,true,12.288848033333334,12.4262,16.2044,1.6109,1.6240,1.9957,0.13
2x,85988,1343.97,15413890,179.26,363892,color_facet_under_depth1_crossover_sweep,Home Improvement,9372,9372,true,9.612448933333333,9.8150,10.5937,1.3979,1.3738,1.6323,0.15
2x,85988,1343.97,15413890,179.26,363892,color_facet_under_depth1_crossover_sweep,Furniture,32078,32078,true,37.66564986666667,37.3937,50.2665,1.9412,1.8630,4.5157,0.05
2x,85988,1343.97,15413890,179.26,363892,numeric_range_average_rating_gte,4,63934,63934,true,0.5465640666666667,0.5372,0.6564,0.7631,0.7542,0.9390,1.40
2x,85988,1343.97,15413890,179.26,363892,numeric_range_average_rating_gte,4.5,56798,56798,true,0.4791767333333333,0.4433,1.2607,0.6804,0.6679,0.8628,1.42
2x,85988,1343.97,15413890,179.26,363892,mixed_depth1_and_rating_filter,Furniture+rating>=4,22860,22860,true,0.5917871666666666,0.5629,0.8955,0.7297,0.7278,0.8673,1.23
