tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
1x,42994,680.56,8108054,188.59,191072,color_facet_under_depth1_crossover_sweep,Rugs,2002,2002,true,1.2284401999999999,1.2203,1.3550,1.1339,1.1060,2.2540,0.92
1x,42994,680.56,8108054,188.59,191072,color_facet_under_depth1_crossover_sweep,Storage & Organization,2175,2175,true,1.5501375666666666,1.5537,1.6817,1.0950,1.0839,1.4378,0.71
1x,42994,680.56,8108054,188.59,191072,color_facet_under_depth1_crossover_sweep,Lighting,2072,2072,true,1.3572043,1.2973,2.0191,1.0196,1.0006,1.3584,0.75
1x,42994,680.56,8108054,188.59,191072,color_facet_under_depth1_crossover_sweep,Outdoor,3394,3394,true,2.6491421,2.6034,3.3002,1.0841,1.0731,1.2868,0.41
1x,42994,680.56,8108054,188.59,191072,color_facet_under_depth1_crossover_sweep,Décor & Pillows,4612,4612,true,4.217639433333334,4.0850,5.8263,1.1141,1.0938,1.4255,0.26
1x,42994,680.56,8108054,188.59,191072,color_facet_under_depth1_crossover_sweep,Home Improvement,4686,4686,true,3.4830231333333335,3.4643,4.0153,1.0427,1.0505,1.2539,0.30
1x,42994,680.56,8108054,188.59,191072,color_facet_under_depth1_crossover_sweep,Furniture,16039,16039,true,17.301618333333334,17.2942,18.3695,1.3143,1.3287,1.7061,0.08
1x,42994,680.56,8108054,188.59,191072,numeric_range_average_rating_gte,4,31967,31967,true,0.27190220000000004,0.2662,0.3423,0.5536,0.5517,0.7971,2.04
1x,42994,680.56,8108054,188.59,191072,numeric_range_average_rating_gte,4.5,28399,28399,true,0.22892206666666667,0.2230,0.2864,0.5524,0.5244,0.7691,2.41
1x,42994,680.56,8108054,188.59,191072,mixed_depth1_and_rating_filter,Furniture+rating>=4,11430,11430,true,0.27109526666666667,0.2654,0.3309,0.6050,0.6073,0.7994,2.23
