tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
1x,42994,850.47,8108054,188.59,191020,color_facet_under_depth1_crossover_sweep,Rugs,2002,2002,true,1.6152371666666667,1.6047,2.5959,3.8763,3.2321,8.2628,2.40
1x,42994,850.47,8108054,188.59,191020,color_facet_under_depth1_crossover_sweep,Storage & Organization,2175,2175,true,3.3480928666666667,3.3331,4.8061,3.3542,3.3201,5.8455,1.00
1x,42994,850.47,8108054,188.59,191020,color_facet_under_depth1_crossover_sweep,Lighting,2072,2072,true,1.7052886666666667,1.6526,2.1742,3.2078,3.0569,5.1285,1.88
1x,42994,850.47,8108054,188.59,191020,color_facet_under_depth1_crossover_sweep,Outdoor,3394,3394,true,6.399515733333334,6.6593,7.5727,2.6756,2.6850,3.8897,0.42
1x,42994,850.47,8108054,188.59,191020,color_facet_under_depth1_crossover_sweep,Décor & Pillows,4612,4612,true,9.561686400000001,9.0936,14.6367,2.6103,2.5090,5.7920,0.27
1x,42994,850.47,8108054,188.59,191020,color_facet_under_depth1_crossover_sweep,Home Improvement,4686,4686,true,8.595642633333332,8.6635,10.8847,2.6291,2.4229,5.7839,0.31
1x,42994,850.47,8108054,188.59,191020,color_facet_under_depth1_crossover_sweep,Furniture,16039,16039,true,28.699902066666667,28.5574,31.4064,3.0395,2.8470,5.8514,0.11
1x,42994,850.47,8108054,188.59,191020,numeric_range_average_rating_gte,4,31967,31967,true,0.3081349666666667,0.2961,0.3880,1.7308,1.4761,5.5789,5.62
1x,42994,850.47,8108054,188.59,191020,numeric_range_average_rating_gte,4.5,28399,28399,true,0.27256743333333333,0.2501,0.4793,1.4897,1.3924,2.7654,5.47
1x,42994,850.47,8108054,188.59,191020,mixed_depth1_and_rating_filter,Furniture+rating>=4,11430,11430,true,0.3102417333333333,0.2983,0.3888,1.5450,1.3325,4.0338,4.98
2x,85988,1703.35,15413890,179.26,364020,color_facet_under_depth1_crossover_sweep,Rugs,4004,4004,true,4.8015154,4.8974,6.3272,2.4716,2.4299,3.4674,0.51
2x,85988,1703.35,15413890,179.26,364020,color_facet_under_depth1_crossover_sweep,Storage & Organization,4350,4350,true,9.077886566666667,8.8821,10.8242,2.4536,2.4453,3.4457,0.27
2x,85988,1703.35,15413890,179.26,364020,color_facet_under_depth1_crossover_sweep,Lighting,4144,4144,true,4.4942731333333334,4.2724,6.9768,2.2006,2.0856,4.2281,0.49
2x,85988,1703.35,15413890,179.26,364020,color_facet_under_depth1_crossover_sweep,Outdoor,6788,6788,true,15.519262466666667,15.6080,16.9670,2.3644,2.2606,3.9589,0.15
2x,85988,1703.35,15413890,179.26,364020,color_facet_under_depth1_crossover_sweep,Décor & Pillows,9224,9224,true,20.195667,20.0389,21.9610,2.1836,2.1264,3.9879,0.11
2x,85988,1703.35,15413890,179.26,364020,color_facet_under_depth1_crossover_sweep,Home Improvement,9372,9372,true,19.16973863333333,18.1767,27.1132,2.3422,2.2533,4.4779,0.12
2x,85988,1703.35,15413890,179.26,364020,color_facet_under_depth1_crossover_sweep,Furniture,32078,32078,true,56.587081700000006,56.3838,60.1218,2.7600,2.7073,3.8123,0.05
2x,85988,1703.35,15413890,179.26,364020,numeric_range_average_rating_gte,4,63934,63934,true,0.6514668,0.6363,0.8408,1.4142,1.2659,5.0684,2.17
2x,85988,1703.35,15413890,179.26,364020,numeric_range_average_rating_gte,4.5,56798,56798,true,0.5155548333333333,0.5045,0.6888,1.2209,1.2029,2.0387,2.37
2x,85988,1703.35,15413890,179.26,364020,mixed_depth1_and_rating_filter,Furniture+rating>=4,22860,22860,true,0.6590299333333334,0.6487,0.8420,1.3405,1.1663,4.5435,2.03
5x,214970,4857.26,37129734,172.72,872500,color_facet_under_depth1_crossover_sweep,Rugs,10010,10010,true,15.712714199999999,15.6302,18.0919,2.7122,2.5216,5.7507,0.17
5x,214970,4857.26,37129734,172.72,872500,color_facet_under_depth1_crossover_sweep,Storage & Organization,10875,10875,true,20.224730266666665,19.8961,22.3389,2.3359,2.1397,3.3694,0.12
5x,214970,4857.26,37129734,172.72,872500,color_facet_under_depth1_crossover_sweep,Lighting,10360,10360,true,16.978481933333335,16.6851,20.0024,2.1958,2.0696,2.9935,0.13
5x,214970,4857.26,37129734,172.72,872500,color_facet_under_depth1_crossover_sweep,Outdoor,16970,16970,true,35.1132389,34.7648,39.1132,2.3474,2.2631,4.1345,0.07
5x,214970,4857.26,37129734,172.72,872500,color_facet_under_depth1_crossover_sweep,Décor & Pillows,23060,23060,true,42.62370636666667,42.2683,46.9056,2.6698,2.5173,6.1232,0.06
5x,214970,4857.26,37129734,172.72,872500,color_facet_under_depth1_crossover_sweep,Home Improvement,23430,23430,true,39.10245976666666,38.7694,47.2652,2.2988,2.2900,2.5748,0.06
5x,214970,4857.26,37129734,172.72,872500,color_facet_under_depth1_crossover_sweep,Furniture,80195,80195,true,116.19105363333334,115.4711,121.2988,3.2172,3.2265,3.7636,0.03
5x,214970,4857.26,37129734,172.72,872500,numeric_range_average_rating_gte,4,159835,159835,true,1.3159732,1.3112,1.5142,0.9648,0.9653,1.1799,0.73
5x,214970,4857.26,37129734,172.72,872500,numeric_range_average_rating_gte,4.5,141995,141995,true,1.1361306666666668,1.0943,1.5668,1.2979,1.0477,4.5906,1.14
5x,214970,4857.26,37129734,172.72,872500,mixed_depth1_and_rating_filter,Furniture+rating>=4,57150,57150,true,1.3349749,1.3226,1.6082,1.0239,0.9979,1.4219,0.77
10x,429940,9899.82,73346846,170.60,1733792,color_facet_under_depth1_crossover_sweep,Rugs,20020,20020,true,29.582061566666667,29.5656,30.9543,2.5736,2.5220,3.3999,0.09
10x,429940,9899.82,73346846,170.60,1733792,color_facet_under_depth1_crossover_sweep,Storage & Organization,21750,21750,true,50.995060366666664,50.6928,53.2711,2.3681,2.3548,2.7979,0.05
10x,429940,9899.82,73346846,170.60,1733792,color_facet_under_depth1_crossover_sweep,Lighting,20720,20720,true,41.809523633333335,41.5430,44.8722,2.5733,2.4057,6.4597,0.06
10x,429940,9899.82,73346846,170.60,1733792,color_facet_under_depth1_crossover_sweep,Outdoor,33940,33940,true,81.21512403333332,81.2407,87.1859,2.8964,2.8538,3.7447,0.04
10x,429940,9899.82,73346846,170.60,1733792,color_facet_under_depth1_crossover_sweep,Décor & Pillows,46120,46120,true,108.21446373333333,107.4105,135.4229,4.1105,3.7689,6.4540,0.04
10x,429940,9899.82,73346846,170.60,1733792,color_facet_under_depth1_crossover_sweep,Home Improvement,46860,46860,true,78.14075733333333,77.6669,91.7088,2.8483,2.8354,3.6150,0.04
10x,429940,9899.82,73346846,170.60,1733792,color_facet_under_depth1_crossover_sweep,Furniture,160390,160390,true,225.7179193,226.1205,239.7707,6.6882,6.5217,8.1882,0.03
10x,429940,9899.82,73346846,170.60,1733792,numeric_range_average_rating_gte,4,319670,319670,true,2.545101466666667,2.5067,3.2490,1.2697,1.1435,4.2356,0.50
10x,429940,9899.82,73346846,170.60,1733792,numeric_range_average_rating_gte,4.5,283990,283990,true,2.1737446666666664,2.1431,2.6199,1.1179,1.0333,3.3741,0.51
10x,429940,9899.82,73346846,170.60,1733792,mixed_depth1_and_rating_filter,Furniture+rating>=4,114300,114300,true,2.4262928333333336,2.4320,2.5859,1.1357,1.0726,1.6082,0.47
20x,859880,20484.45,145660040,169.40,3450632,color_facet_under_depth1_crossover_sweep,Rugs,40040,40040,true,81.96955953333332,81.8813,86.5717,5.0388,4.7493,7.3879,0.06
