class,group_kind,group_key,group_bucket,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
category_render_filter_first_page,category_leaf,Sale / Closeout / Bath Rugs & Towels / Bath Rugs & Mats,tiny (2-10),2,2,true,0.0000952,0.000084,0.000177,0.9833160666666666,0.994764,1.11345,10328.950280112045
color_facet_under_category_filter,category_leaf,Sale / Closeout / Bath Rugs & Towels / Bath Rugs & Mats,tiny (2-10),2,2,true,0.000923,0.000921,0.000965,0.8271216666666666,0.822251,1.074896,896.1231491513181
product_class_facet_under_category_filter,category_leaf,Sale / Closeout / Bath Rugs & Towels / Bath Rugs & Mats,tiny (2-10),2,2,true,0.00014026666666666667,0.00013,0.000334,0.8449497333333332,0.847234,1.037901,6023.881178707224
style_facet_under_category_filter,category_leaf,Sale / Closeout / Bath Rugs & Towels / Bath Rugs & Mats,tiny (2-10),2,2,true,0.0009464333333333333,0.000942,0.000999,0.8222383000000001,0.798109,1.397922,868.7757193674499
sort_title_under_category_filter,category_leaf,Sale / Closeout / Bath Rugs & Towels / Bath Rugs & Mats,tiny (2-10),2,2,true,0.00030930000000000004,0.000307,0.00036,0.9910019,0.996015,1.096458,3204.015195602974
sort_rating_desc_under_category_filter,category_leaf,Sale / Closeout / Bath Rugs & Towels / Bath Rugs & Mats,tiny (2-10),2,2,true,0.00020363333333333331,0.0002,0.000229,1.0410066,1.025362,1.264922,5112.162055982976
category_render_filter_first_page,category_leaf,Home Improvement / Bathroom Remodel & Bathroom Fixtures / Showers & Bathtubs / Showers & Bathtubs Plumbing / Shower Faucets & Systems / Fixed Head Shower Faucets & Systems,small (11-100),13,13,true,0.0000865,0.000082,0.00013,2.3752236666666664,2.327478,2.889925,27459.233140655102
color_facet_under_category_filter,category_leaf,Home Improvement / Bathroom Remodel & Bathroom Fixtures / Showers & Bathtubs / Showers & Bathtubs Plumbing / Shower Faucets & Systems / Fixed Head Shower Faucets & Systems,small (11-100),13,13,true,0.0077828333333333334,0.007477,0.012073,0.7930250333333333,0.785435,1.009917,101.89413024391288
product_class_facet_under_category_filter,category_leaf,Home Improvement / Bathroom Remodel & Bathroom Fixtures / Showers & Bathtubs / Showers & Bathtubs Plumbing / Shower Faucets & Systems / Fixed Head Shower Faucets & Systems,small (11-100),13,13,true,0.0004057,0.00039,0.000488,1.0717364333333332,0.961737,4.47442,2641.6969024730915
style_facet_under_category_filter,category_leaf,Home Improvement / Bathroom Remodel & Bathroom Fixtures / Showers & Bathtubs / Showers & Bathtubs Plumbing / Shower Faucets & Systems / Fixed Head Shower Faucets & Systems,small (11-100),13,13,true,0.008887466666666666,0.008414,0.014985,0.9199032666666668,0.91416,1.075522,103.50567840854538
sort_title_under_category_filter,category_leaf,Home Improvement / Bathroom Remodel & Bathroom Fixtures / Showers & Bathtubs / Showers & Bathtubs Plumbing / Shower Faucets & Systems / Fixed Head Shower Faucets & Systems,small (11-100),13,13,true,0.0015724,0.001536,0.002879,2.7015437,2.620053,3.856615,1718.1020732638005
sort_rating_desc_under_category_filter,category_leaf,Home Improvement / Bathroom Remodel & Bathroom Fixtures / Showers & Bathtubs / Showers & Bathtubs Plumbing / Shower Faucets & Systems / Fixed Head Shower Faucets & Systems,small (11-100),13,13,true,0.0016897000000000001,0.001652,0.002015,2.0798925333333336,2.029377,2.752913,1230.9241482708962
category_render_filter_first_page,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.00008709999999999999,0.000084,0.000122,2.3030787333333333,2.29991,2.535866,26441.776502104865
color_facet_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.0744029,0.070792,0.099983,1.0197613,1.013171,1.18002,13.705934849313671
product_class_facet_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.003086366666666667,0.003017,0.004475,0.9802793333333334,0.802456,5.760621,317.6159669946323
style_facet_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.0847808,0.084028,0.109855,1.0162192666666667,0.928372,3.887881,11.986431676354394
sort_title_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),24,24,true,0.013067233333333334,0.011279,0.018953,2.7818651333333335,2.750336,3.163638,212.88860942255056
sort_rating_desc_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),24,24,true,0.0155017,0.015171,0.023813,2.4863247333333334,2.487392,2.916189,160.39045610051372
deep_pagination_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),24,24,true,0.00009190000000000001,0.000086,0.000187,2.7583602999999997,2.877906,3.256784,30014.8019586507
category_render_filter_first_page,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.00023896666666666666,0.000236,0.000397,2.4531479,2.458049,2.82513,10265.648905007673
color_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.6561798000000001,0.651557,0.759482,0.8623030666666667,0.858873,0.998977,1.3141261993536932
product_class_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.03466863333333333,0.030146,0.078397,0.9392553333333333,0.924834,1.242357,27.092366875340726
style_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.8260771666666666,0.751721,1.137598,0.9358344666666667,0.872796,1.883343,1.1328656745747927
sort_title_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),24,24,true,0.112973,0.102303,0.261628,1.8897023,1.820881,2.422258,16.72702592654882
sort_rating_desc_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),24,24,true,0.3845997,0.358966,0.576136,2.5974422,2.528377,3.401026,6.7536251328329175
deep_pagination_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),24,24,true,0.0002089,0.000205,0.000317,2.7233381666666667,2.719051,3.047745,13036.563746609223
subtree_browse_depth3_filter_first_page,category_depth_3,Outdoor / Outdoor Shades / Outdoor Shade Accessories,tiny (2-10),6,6,true,0.00034216666666666667,0.000124,0.006126,2.008479566666667,1.581903,4.766988,5869.8867023867515
mixed_color_facet_under_subtree_depth3,category_depth_3,Outdoor / Outdoor Shades / Outdoor Shade Accessories,tiny (2-10),6,6,true,0.0024438666666666666,0.002237,0.004587,0.9333844333333333,0.917866,1.684624,381.92936057613616
subtree_browse_depth3_filter_first_page,category_depth_3,Furniture / Game Tables & Game Room Furniture / Sports Team Fan Shop & Memorabillia,small (11-100),25,25,true,0.0002487,0.000246,0.000329,2.1045184333333333,2.047335,3.302966,8462.076531296074
mixed_color_facet_under_subtree_depth3,category_depth_3,Furniture / Game Tables & Game Room Furniture / Sports Team Fan Shop & Memorabillia,small (11-100),25,25,true,0.010130700000000001,0.009275,0.034892,0.7228358,0.707295,0.858994,71.35102214062206
subtree_browse_depth3_filter_first_page,category_depth_3,Baby & Kids / Nursery Bedding / Crib Bedding Sets,medium (101-1,000),132,132,true,0.0002356,0.00024,0.0003,2.3576276000000003,2.328357,2.939253,10006.90831918506
mixed_color_facet_under_subtree_depth3,category_depth_3,Baby & Kids / Nursery Bedding / Crib Bedding Sets,medium (101-1,000),132,132,true,0.11116183333333333,0.108966,0.211047,1.1960385666666666,1.169522,1.624086,10.759435417731805
subtree_browse_depth3_filter_first_page,category_depth_3,Furniture / Kitchen & Dining Furniture / Bar Furniture,large (1,001-10,000),1063,1063,true,0.00027783333333333333,0.000271,0.000368,2.457733533333333,2.469544,2.867638,8846.07150569886
mixed_color_facet_under_subtree_depth3,category_depth_3,Furniture / Kitchen & Dining Furniture / Bar Furniture,large (1,001-10,000),1063,1063,true,0.8139303666666667,0.796987,0.934752,1.2360927,1.135384,3.465804,1.5186713146755262
color_facet_under_depth1_crossover_sweep,category_depth_1,Rugs,large (1,001-10,000),2002,2002,true,1.2214735333333335,1.213295,1.305722,1.2981820666666666,1.240736,1.612585,1.0627999962668038
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Rugs,large (1,001-10,000),2002,2002,true,0.0223303,0.021565,0.048211,1.2981820666666666,1.240736,1.612585,58.135451232928645
color_facet_under_depth1_crossover_sweep,category_depth_1,Storage & Organization,large (1,001-10,000),2175,2175,true,1.5624577333333334,1.549937,2.042468,1.4215614666666665,1.359882,2.242576,0.9098239500110636
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Storage & Organization,large (1,001-10,000),2175,2175,true,0.05164616666666667,0.049173,0.102593,1.4215614666666665,1.359882,2.242576,27.52501411850508
color_facet_under_depth1_crossover_sweep,category_depth_1,Lighting,large (1,001-10,000),2072,2072,true,2.0126219333333335,2.194594,2.337182,1.4886108666666666,1.439963,3.001536,0.7396376050623714
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Lighting,large (1,001-10,000),2072,2072,true,0.013078,0.012136,0.020365,1.4886108666666666,1.439963,3.001536,113.82557475658868
color_facet_under_depth1_crossover_sweep,category_depth_1,Outdoor,large (1,001-10,000),3394,3394,true,2.7507457000000004,2.668335,3.501865,1.1638683333333333,1.176183,1.322359,0.4231101164071012
