class,group_kind,group_key,group_bucket,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
category_render_filter_first_page,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs / Parsons Accent Chairs,tiny (2-10),2,2,true,0.00008536666666666666,0.00008,0.000162,1.0145572,1.006877,1.267273,11884.69972666927
color_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs / Parsons Accent Chairs,tiny (2-10),2,2,true,0.0010996666666666668,0.001094,0.001158,0.6968003,0.664612,0.919034,633.6468323734465
product_class_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs / Parsons Accent Chairs,tiny (2-10),2,2,true,0.00021223333333333333,0.000207,0.000289,0.7992908666666667,0.752726,2.106978,3766.0948641432387
style_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs / Parsons Accent Chairs,tiny (2-10),2,2,true,0.0011735666666666666,0.001128,0.00174,0.7273710333333333,0.732611,0.828264,619.7952395830375
sort_title_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs / Parsons Accent Chairs,tiny (2-10),2,2,true,0.0001951,0.000189,0.00024,1.0581244333333333,1.036227,1.33707,5423.497864343071
sort_rating_desc_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs / Parsons Accent Chairs,tiny (2-10),2,2,true,0.00033,0.000335,0.000382,1.03971,1.013005,1.79652,3150.6363636363635
category_render_filter_first_page,category_leaf,Kitchen & Tabletop / Tableware & Drinkware / Serveware / Serving Bowls & Baskets / Serving Bowls / NA Serving Bowls,small (11-100),13,13,true,0.00008883333333333333,0.000084,0.00016,1.7215652666666665,1.675331,2.073715,19379.72157598499
color_facet_under_category_filter,category_leaf,Kitchen & Tabletop / Tableware & Drinkware / Serveware / Serving Bowls & Baskets / Serving Bowls / NA Serving Bowls,small (11-100),13,13,true,0.0091144,0.008732,0.015408,0.7313467666666668,0.728779,0.920242,80.24080210070512
product_class_facet_under_category_filter,category_leaf,Kitchen & Tabletop / Tableware & Drinkware / Serveware / Serving Bowls & Baskets / Serving Bowls / NA Serving Bowls,small (11-100),13,13,true,0.0003889333333333333,0.000381,0.000469,1.1854283333333333,0.751928,13.549479,3047.895954748029
style_facet_under_category_filter,category_leaf,Kitchen & Tabletop / Tableware & Drinkware / Serveware / Serving Bowls & Baskets / Serving Bowls / NA Serving Bowls,small (11-100),13,13,true,0.010514899999999999,0.00891,0.03369,0.7561964666666666,0.710794,2.063309,71.91665794887889
sort_title_under_category_filter,category_leaf,Kitchen & Tabletop / Tableware & Drinkware / Serveware / Serving Bowls & Baskets / Serving Bowls / NA Serving Bowls,small (11-100),13,13,true,0.0008427333333333334,0.000776,0.001891,1.8099138666666668,1.796437,2.247897,2147.6709121113836
sort_rating_desc_under_category_filter,category_leaf,Kitchen & Tabletop / Tableware & Drinkware / Serveware / Serving Bowls & Baskets / Serving Bowls / NA Serving Bowls,small (11-100),13,13,true,0.0009809,0.000959,0.001189,1.9149193,1.897554,2.494471,1952.2064430624935
category_render_filter_first_page,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.00008576666666666666,0.000082,0.000144,2.3148031000000002,2.264173,2.99273,26989.542557326084
color_facet_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.07596753333333334,0.070457,0.114478,1.0394899666666666,1.014414,1.42332,13.683344990359915
product_class_facet_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.0031305,0.003045,0.004771,0.7168714666666667,0.707851,0.836251,228.9958366608103
style_facet_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.07301730000000001,0.068612,0.109017,0.7287103,0.730832,0.913463,9.979967761064843
sort_title_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),24,24,true,0.0135566,0.010958,0.046141,2.772708033333333,2.566878,5.483071,204.52827650984267
sort_rating_desc_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),24,24,true,0.0153373,0.015264,0.016939,2.3477413333333335,2.237459,2.852881,153.07396564801715
deep_pagination_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),24,24,true,0.00008893333333333333,0.000083,0.000185,2.3261773666666667,2.251414,3.107798,26156.41716641679
category_render_filter_first_page,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.00021983333333333336,0.000216,0.000263,2.247177933333333,2.208621,2.770904,10222.189234268382
color_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.6178250333333333,0.615912,0.703969,0.7000337,0.715257,0.849908,1.1330614044936456
product_class_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.031304266666666664,0.030189,0.058308,0.7478056999999999,0.744418,0.896813,23.888299571517408
style_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.6989918333333334,0.677527,1.058677,0.7745008000000001,0.771605,0.959529,1.1080255348715329
sort_title_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),24,24,true,0.09294513333333333,0.087407,0.139183,1.7069952,1.638802,2.112822,18.36562215557996
sort_rating_desc_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),24,24,true,0.3019537,0.295437,0.394183,2.3859097,2.237509,4.88821,7.901574645384375
deep_pagination_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),24,24,true,0.00043286666666666665,0.00024,0.005941,2.433895566666667,2.395006,3.082859,5622.737332511937
subtree_browse_depth3_filter_first_page,category_depth_3,Outdoor / Hot Tubs & Saunas / Sauna Accessories,tiny (2-10),6,6,true,0.00013413333333333333,0.000122,0.000354,1.2386777333333334,1.215564,1.595393,9234.674950298211
mixed_color_facet_under_subtree_depth3,category_depth_3,Outdoor / Hot Tubs & Saunas / Sauna Accessories,tiny (2-10),6,6,true,0.003892266666666667,0.004413,0.004555,0.7689674000000001,0.746455,1.010542,197.56287681556591
subtree_browse_depth3_filter_first_page,category_depth_3,Kitchen & Tabletop / Kitchen Organization / Cabinet & Pantry Organization,small (11-100),25,25,true,0.000243,0.000236,0.00034,2.8027482333333333,2.785143,3.39411,11533.943347050754
mixed_color_facet_under_subtree_depth3,category_depth_3,Kitchen & Tabletop / Kitchen Organization / Cabinet & Pantry Organization,small (11-100),25,25,true,0.018949666666666667,0.02228,0.042476,0.7249265,0.705343,0.916458,38.25536948758993
subtree_browse_depth3_filter_first_page,category_depth_3,Baby & Kids / Nursery Bedding / Crib Bedding Sets,medium (101-1,000),132,132,true,0.0001332333333333333,0.000128,0.000194,2.4050302,2.269318,3.250136,18051.264948711538
mixed_color_facet_under_subtree_depth3,category_depth_3,Baby & Kids / Nursery Bedding / Crib Bedding Sets,medium (101-1,000),132,132,true,0.07226493333333334,0.069543,0.107092,1.1213839333333333,1.105009,1.362865,15.517677545771392
subtree_browse_depth3_filter_first_page,category_depth_3,Furniture / Kitchen & Dining Furniture / Bar Furniture,large (1,001-10,000),1063,1063,true,0.0004134666666666666,0.000371,0.001346,2.510308066666667,2.416155,3.34475,6071.367462108999
mixed_color_facet_under_subtree_depth3,category_depth_3,Furniture / Kitchen & Dining Furniture / Bar Furniture,large (1,001-10,000),1063,1063,true,0.8382169333333334,0.824036,1.215876,1.0944543666666666,1.074846,1.398159,1.3056934585112174
color_facet_under_depth1_crossover_sweep,category_depth_1,Rugs,large (1,001-10,000),2002,2002,true,1.327942,1.267547,1.957955,1.1234997666666666,1.113307,1.315443,0.8460458112377398
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Rugs,large (1,001-10,000),2002,2002,true,0.0234182,0.022587,0.04364,1.1234997666666666,1.113307,1.315443,47.97549626643664
color_facet_under_depth1_crossover_sweep,category_depth_1,Storage & Organization,large (1,001-10,000),2175,2175,true,1.5770050333333334,1.563174,1.78193,1.1411496666666667,1.132342,1.295205,0.7236182780308607
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Storage & Organization,large (1,001-10,000),2175,2175,true,0.025193566666666667,0.024348,0.051685,1.1411496666666667,1.132342,1.295205,45.29528040888746
color_facet_under_depth1_crossover_sweep,category_depth_1,Lighting,large (1,001-10,000),2072,2072,true,1.2949634666666665,1.295412,1.484301,1.0836277333333333,1.046731,1.422356,0.836801779530254
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Lighting,large (1,001-10,000),2072,2072,true,0.015952633333333334,0.014696,0.044488,1.0836277333333333,1.046731,1.422356,67.92782800749718
