class,group_kind,group_key,group_bucket,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
category_render_filter_first_page,category_leaf,Furniture / Kitchen & Dining Furniture / Kitchen Islands & Carts / Seating Kitchen Islands & Carts,tiny (2-10),2,2,true,0.0000947,0.000081,0.000228,0.9323822666666667,0.926236,1.07997,9845.641675466386
color_facet_under_category_filter,category_leaf,Furniture / Kitchen & Dining Furniture / Kitchen Islands & Carts / Seating Kitchen Islands & Carts,tiny (2-10),2,2,true,0.0010852000000000001,0.001086,0.001151,0.7080347666666668,0.699792,0.900662,652.4463386165377
product_class_facet_under_category_filter,category_leaf,Furniture / Kitchen & Dining Furniture / Kitchen Islands & Carts / Seating Kitchen Islands & Carts,tiny (2-10),2,2,true,0.00014553333333333334,0.000135,0.000292,0.6617339333333333,0.659742,0.816399,4546.957856161245
style_facet_under_category_filter,category_leaf,Furniture / Kitchen & Dining Furniture / Kitchen Islands & Carts / Seating Kitchen Islands & Carts,tiny (2-10),2,2,true,0.0024595666666666666,0.002388,0.006263,0.6960380333333334,0.696085,0.794928,282.9921395367748
sort_title_under_category_filter,category_leaf,Furniture / Kitchen & Dining Furniture / Kitchen Islands & Carts / Seating Kitchen Islands & Carts,tiny (2-10),2,2,true,0.00019643333333333333,0.00019,0.000242,0.9671725999999999,0.959862,1.226548,4923.668420159511
sort_rating_desc_under_category_filter,category_leaf,Furniture / Kitchen & Dining Furniture / Kitchen Islands & Carts / Seating Kitchen Islands & Carts,tiny (2-10),2,2,true,0.00038656666666666667,0.000207,0.005397,0.9167551666666667,0.919775,1.112614,2371.531861688368
category_render_filter_first_page,category_leaf,Storage & Organization / Closet Storage & Organization / Hangers,small (11-100),13,13,true,0.00009233333333333333,0.000089,0.000124,1.5283906,1.530452,1.732727,16552.96678700361
color_facet_under_category_filter,category_leaf,Storage & Organization / Closet Storage & Organization / Hangers,small (11-100),13,13,true,0.0038239333333333334,0.00371,0.006931,0.7037267666666667,0.700135,0.808126,184.0321745497655
product_class_facet_under_category_filter,category_leaf,Storage & Organization / Closet Storage & Organization / Hangers,small (11-100),13,13,true,0.00035376666666666663,0.000343,0.000502,0.7171499,0.691124,1.19476,2027.183360030152
style_facet_under_category_filter,category_leaf,Storage & Organization / Closet Storage & Organization / Hangers,small (11-100),13,13,true,0.0045881333333333335,0.003802,0.026448,0.6848841,0.690191,0.840658,149.2729287146552
sort_title_under_category_filter,category_leaf,Storage & Organization / Closet Storage & Organization / Hangers,small (11-100),13,13,true,0.0009742666666666666,0.00088,0.002261,1.7163849666666666,1.649852,2.286456,1761.7198918844942
sort_rating_desc_under_category_filter,category_leaf,Storage & Organization / Closet Storage & Organization / Hangers,small (11-100),13,13,true,0.0034054666666666665,0.002497,0.029634,1.4948334333333333,1.482175,1.704775,438.95112759876275
category_render_filter_first_page,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.00009483333333333333,0.000089,0.000181,2.3115022666666665,2.243047,2.97808,24374.364850615115
color_facet_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.07926319999999999,0.070737,0.146351,0.9224222333333333,0.92233,1.190126,11.637458913257772
product_class_facet_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.0035998000000000002,0.003035,0.008072,0.6701582333333332,0.675205,0.799832,186.16540733744463
style_facet_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.07576503333333334,0.069588,0.155432,0.7194531,0.717788,0.915501,9.4958461489051
sort_title_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),24,24,true,0.023079233333333334,0.021247,0.051383,2.887144966666667,2.995755,3.409311,125.09709161338404
sort_rating_desc_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),24,24,true,0.018357,0.01628,0.055451,2.292455133333333,2.238525,2.762867,124.88179622668919
deep_pagination_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),24,24,true,0.00009159999999999999,0.000086,0.000182,2.1160093,2.113456,2.289664,23100.538209606988
category_render_filter_first_page,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.00012103333333333333,0.000118,0.00019,2.1887817666666667,2.117836,3.194352,18084.12365739466
color_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.6739045333333333,0.662866,0.888211,0.6712573333333334,0.672986,0.810791,0.9960718471696486
product_class_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.031761700000000004,0.030562,0.049814,0.6909806666666666,0.690639,0.803238,21.75515374386971
style_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.6594097666666667,0.65036,0.741929,0.6684717,0.653928,0.779251,1.0137424918334794
sort_title_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),24,24,true,0.09277283333333333,0.084633,0.166118,1.5077349,1.478251,1.772639,16.25190096957263
sort_rating_desc_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),24,24,true,0.27587226666666664,0.266212,0.381216,2.2133773999999997,2.19052,2.682334,8.023196484169969
deep_pagination_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),24,24,true,0.00013503333333333333,0.000125,0.000236,2.3739181666666664,2.363779,2.650529,17580.238212786964
subtree_browse_depth3_filter_first_page,category_depth_3,Décor & Pillows / Wall Décor / Stained Glass Panels,tiny (2-10),6,6,true,0.00014406666666666665,0.000122,0.000585,1.0447170333333333,1.042946,1.192775,7251.622165664045
mixed_color_facet_under_subtree_depth3,category_depth_3,Décor & Pillows / Wall Décor / Stained Glass Panels,tiny (2-10),6,6,true,0.0073103000000000005,0.006201,0.038981,0.6623700333333333,0.659175,0.867393,90.60777715460833
subtree_browse_depth3_filter_first_page,category_depth_3,Décor & Pillows / Flowers & Plants / Faux Plants,small (11-100),25,25,true,0.00012863333333333333,0.000121,0.000198,1.9158325666666667,1.897081,2.420884,14893.748898678414
mixed_color_facet_under_subtree_depth3,category_depth_3,Décor & Pillows / Flowers & Plants / Faux Plants,small (11-100),25,25,true,0.013653533333333332,0.012841,0.037368,0.7751345666666667,0.782323,0.922065,56.77171965254416
subtree_browse_depth3_filter_first_page,category_depth_3,Baby & Kids / Nursery Bedding / Crib Bedding Sets,medium (101-1,000),132,132,true,0.00013440000000000001,0.000126,0.000191,2.220264966666667,2.187668,2.726814,16519.828621031746
mixed_color_facet_under_subtree_depth3,category_depth_3,Baby & Kids / Nursery Bedding / Crib Bedding Sets,medium (101-1,000),132,132,true,0.07138223333333334,0.065809,0.112723,1.0242617,1.00144,1.258105,14.348972456731763
subtree_browse_depth3_filter_first_page,category_depth_3,Furniture / Kitchen & Dining Furniture / Bar Furniture,large (1,001-10,000),1063,1063,true,0.00034406666666666666,0.000196,0.00374,2.3173881333333335,2.272567,3.040037,6735.288122456889
mixed_color_facet_under_subtree_depth3,category_depth_3,Furniture / Kitchen & Dining Furniture / Bar Furniture,large (1,001-10,000),1063,1063,true,0.8151628333333334,0.820873,0.9187,1.0818234666666666,1.067484,1.323638,1.327125602921461
color_facet_under_depth1_crossover_sweep,category_depth_1,Rugs,large (1,001-10,000),2002,2002,true,1.2870926999999999,1.269208,1.590763,1.2346460666666665,1.106747,4.685185,0.9592518601548021
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Rugs,large (1,001-10,000),2002,2002,true,0.023698900000000002,0.022738,0.051932,1.2346460666666665,1.106747,4.685185,52.09718875840931
color_facet_under_depth1_crossover_sweep,category_depth_1,Storage & Organization,large (1,001-10,000),2175,2175,true,1.6522482666666667,1.632986,1.90633,1.0542446333333333,1.037051,1.238973,0.6380667207236491
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Storage & Organization,large (1,001-10,000),2175,2175,true,0.04076676666666667,0.03993,0.069245,1.0542446333333333,1.037051,1.238973,25.860393637628032
color_facet_under_depth1_crossover_sweep,category_depth_1,Lighting,large (1,001-10,000),2072,2072,true,1.3698499333333334,1.33985,1.863748,1.0102653666666668,1.011535,1.141045,0.7375007598155886
