tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
1x,42994,739.92,8108054,188.59,194136,color_facet_under_depth1_crossover_sweep,Rugs,2002,2002,true,1.2252764666666665,1.2036,1.3606,1.4753,1.1173,4.3112,1.20
1x,42994,739.92,8108054,188.59,194136,color_facet_ordinal_under_depth1_crossover_sweep,Rugs,2002,2002,true,0.0253128,0.0244,0.0589,1.4753,1.1173,4.3112,58.28
1x,42994,739.92,8108054,188.59,194136,color_facet_under_depth1_crossover_sweep,Storage & Organization,2175,2175,true,1.6159521666666667,1.5955,1.8938,1.0632,1.0490,1.5141,0.66
1x,42994,739.92,8108054,188.59,194136,color_facet_ordinal_under_depth1_crossover_sweep,Storage & Organization,2175,2175,true,0.0360183,0.0339,0.0707,1.0632,1.0490,1.5141,29.52
1x,42994,739.92,8108054,188.59,194136,color_facet_under_depth1_crossover_sweep,Lighting,2072,2072,true,1.3692134666666667,1.2954,2.2081,0.9425,0.9444,1.0316,0.69
1x,42994,739.92,8108054,188.59,194136,color_facet_ordinal_under_depth1_crossover_sweep,Lighting,2072,2072,true,0.014166966666666668,0.0130,0.0393,0.9425,0.9444,1.0316,66.53
1x,42994,739.92,8108054,188.59,194136,color_facet_under_depth1_crossover_sweep,Outdoor,3394,3394,true,2.6291504,2.5887,2.9607,1.0662,1.0713,1.3093,0.41
1x,42994,739.92,8108054,188.59,194136,color_facet_ordinal_under_depth1_crossover_sweep,Outdoor,3394,3394,true,0.07575306666666666,0.0673,0.2527,1.0662,1.0713,1.3093,14.07
1x,42994,739.92,8108054,188.59,194136,color_facet_under_depth1_crossover_sweep,Décor & Pillows,4612,4612,true,4.0373017,4.0168,4.7415,1.1205,1.1341,1.2553,0.28
1x,42994,739.92,8108054,188.59,194136,color_facet_ordinal_under_depth1_crossover_sweep,Décor & Pillows,4612,4612,true,0.19998903333333332,0.1954,0.2687,1.1205,1.1341,1.2553,5.60
1x,42994,739.92,8108054,188.59,194136,color_facet_under_depth1_crossover_sweep,Home Improvement,4686,4686,true,3.6717380333333334,3.6666,4.1263,1.1914,1.1278,3.7308,0.32
1x,42994,739.92,8108054,188.59,194136,color_facet_ordinal_under_depth1_crossover_sweep,Home Improvement,4686,4686,true,0.08570826666666666,0.0816,0.1373,1.1914,1.1278,3.7308,13.90
1x,42994,739.92,8108054,188.59,194136,color_facet_under_depth1_crossover_sweep,Furniture,16039,16039,true,18.614354366666667,18.5833,20.0500,1.2836,1.2449,1.6654,0.07
1x,42994,739.92,8108054,188.59,194136,color_facet_ordinal_under_depth1_crossover_sweep,Furniture,16039,16039,true,0.2610014666666667,0.2397,0.5595,1.2836,1.2449,1.6654,4.92
1x,42994,739.92,8108054,188.59,194136,numeric_range_average_rating_gte,4,31967,31967,true,0.2692405666666666,0.2611,0.3285,0.5837,0.5672,0.7395,2.17
1x,42994,739.92,8108054,188.59,194136,numeric_range_average_rating_gte,4.5,28399,28399,true,0.21790410000000002,0.2165,0.2828,0.6780,0.6485,1.7339,3.11
1x,42994,739.92,8108054,188.59,194136,mixed_depth1_and_rating_filter,Furniture+rating>=4,11430,11430,true,0.2716114666666667,0.2654,0.3163,0.6234,0.6146,0.7595,2.30
2x,85988,1426.41,15413890,179.26,369272,color_facet_under_depth1_crossover_sweep,Rugs,4004,4004,true,2.5265683666666665,2.5073,2.7571,1.1297,1.0898,1.6735,0.45
2x,85988,1426.41,15413890,179.26,369272,color_facet_ordinal_under_depth1_crossover_sweep,Rugs,4004,4004,true,0.030818599999999998,0.0307,0.0575,1.1297,1.0898,1.6735,36.66
2x,85988,1426.41,15413890,179.26,369272,color_facet_under_depth1_crossover_sweep,Storage & Organization,4350,4350,true,3.476380933333333,3.4593,3.7819,1.1968,1.1096,3.4574,0.34
2x,85988,1426.41,15413890,179.26,369272,color_facet_ordinal_under_depth1_crossover_sweep,Storage & Organization,4350,4350,true,0.03431303333333333,0.0343,0.0527,1.1968,1.1096,3.4574,34.88
2x,85988,1426.41,15413890,179.26,369272,color_facet_under_depth1_crossover_sweep,Lighting,4144,4144,true,2.7903217999999996,2.6547,3.7119,1.0744,1.0840,1.2539,0.39
2x,85988,1426.41,15413890,179.26,369272,color_facet_ordinal_under_depth1_crossover_sweep,Lighting,4144,4144,true,0.021448666666666668,0.0202,0.0435,1.0744,1.0840,1.2539,50.09
2x,85988,1426.41,15413890,179.26,369272,color_facet_under_depth1_crossover_sweep,Outdoor,6788,6788,true,8.317770066666666,8.4022,9.9091,1.2015,1.1935,1.3633,0.14
2x,85988,1426.41,15413890,179.26,369272,color_facet_ordinal_under_depth1_crossover_sweep,Outdoor,6788,6788,true,0.0992166,0.0948,0.1290,1.2015,1.1935,1.3633,12.11
2x,85988,1426.41,15413890,179.26,369272,color_facet_under_depth1_crossover_sweep,Décor & Pillows,9224,9224,true,12.8379067,13.1480,14.4902,1.2327,1.2489,1.5383,0.10
2x,85988,1426.41,15413890,179.26,369272,color_facet_ordinal_under_depth1_crossover_sweep,Décor & Pillows,9224,9224,true,0.24809706666666667,0.2370,0.3377,1.2327,1.2489,1.5383,4.97
