class,group_kind,group_key,group_bucket,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
category_render_filter_first_page,category_leaf,Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Knobs / Iron Cabinet & Drawer Knobs,tiny (2-10),2,2,true,0.00011436666666666666,0.00008,0.00022,0.9005648666666667,0.87283,1.297944,7874.364908190032
color_facet_under_category_filter,category_leaf,Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Knobs / Iron Cabinet & Drawer Knobs,tiny (2-10),2,2,true,0.0017495,0.001,0.02235,0.7263814333333334,0.702345,1.173609,415.19373154234546
product_class_facet_under_category_filter,category_leaf,Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Knobs / Iron Cabinet & Drawer Knobs,tiny (2-10),2,2,true,0.00014869999999999998,0.000134,0.000332,0.6570674,0.659207,0.851246,4418.745124411567
product_class_facet_ordinal_under_category_filter,category_leaf,Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Knobs / Iron Cabinet & Drawer Knobs,tiny (2-10),2,2,true,0.0007184333333333333,0.000698,0.001055,0.6570674,0.659207,0.851246,914.5836774462953
style_facet_under_category_filter,category_leaf,Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Knobs / Iron Cabinet & Drawer Knobs,tiny (2-10),2,2,true,0.001053,0.001042,0.001333,0.6726205,0.645289,0.898348,638.7659069325737
sort_title_under_category_filter,category_leaf,Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Knobs / Iron Cabinet & Drawer Knobs,tiny (2-10),2,2,true,0.0001904,0.000184,0.000346,0.8400698000000001,0.807845,1.780469,4412.131302521009
sort_rating_desc_under_category_filter,category_leaf,Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Knobs / Iron Cabinet & Drawer Knobs,tiny (2-10),2,2,true,0.0002079,0.000199,0.000289,0.9156735333333333,0.870661,1.801657,4404.394099727433
category_render_filter_first_page,category_leaf,Furniture / Living Room Furniture / Cabinets & Chests / White Cabinets & Chests,small (11-100),13,13,true,0.00008973333333333334,0.000086,0.000164,1.6042170666666666,1.584501,2.123292,17877.60475482912
color_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Cabinets & Chests / White Cabinets & Chests,small (11-100),13,13,true,0.012357,0.012497,0.012729,0.6827600666666667,0.657402,1.159279,55.25289849208276
product_class_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Cabinets & Chests / White Cabinets & Chests,small (11-100),13,13,true,0.0005986666666666666,0.000375,0.006361,0.7734064333333334,0.663958,3.648263,1291.8815701559022
product_class_facet_ordinal_under_category_filter,category_leaf,Furniture / Living Room Furniture / Cabinets & Chests / White Cabinets & Chests,small (11-100),13,13,true,0.0020128666666666666,0.0008,0.036738,0.7734064333333334,0.663958,3.648263,384.2313284536151
style_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Cabinets & Chests / White Cabinets & Chests,small (11-100),13,13,true,0.0069687333333333336,0.006932,0.007579,0.7029646666666667,0.711731,0.868055,100.87409476614593
sort_title_under_category_filter,category_leaf,Furniture / Living Room Furniture / Cabinets & Chests / White Cabinets & Chests,small (11-100),13,13,true,0.000903,0.000836,0.002637,1.6740412333333334,1.628279,2.130921,1853.8662606127723
sort_rating_desc_under_category_filter,category_leaf,Furniture / Living Room Furniture / Cabinets & Chests / White Cabinets & Chests,small (11-100),13,13,true,0.0010083666666666667,0.000987,0.001235,1.6816802,1.675216,2.055847,1667.7268850616508
category_render_filter_first_page,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.00012103333333333333,0.000118,0.000175,2.3136355,2.244698,3.07714,19115.688515560454
color_facet_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.07541236666666667,0.072449,0.106242,0.8765433333333333,0.865163,1.026107,11.623336755996252
product_class_facet_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.0038437,0.003046,0.026864,0.6224189666666666,0.615652,0.987454,161.93224410507236
product_class_facet_ordinal_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.0012140666666666665,0.00121,0.001319,0.6224189666666666,0.615652,0.987454,512.6728076437319
style_facet_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),121,121,true,0.07487736666666667,0.07053,0.135299,0.7351171666666666,0.721859,1.177788,9.817615113779373
sort_title_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),24,24,true,0.0109577,0.010669,0.016916,2.4048007666666664,2.38532,2.793002,219.4621833657306
sort_rating_desc_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),24,24,true,0.015882333333333335,0.015211,0.022842,2.1638401666666667,2.150639,2.407362,136.2419564715512
deep_pagination_under_category_filter,category_leaf,Storage & Organization / Storage Containers & Drawers / All Storage Containers,medium (101-1,000),24,24,true,0.00009073333333333333,0.000086,0.000152,2.1537029333333333,2.130803,2.350224,23736.623071271122
category_render_filter_first_page,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.00013143333333333335,0.000126,0.000194,2.091570566666667,2.062135,2.328544,15913.547299010905
color_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.6594639,0.635821,1.023501,0.7096583000000001,0.691347,0.980974,1.0761139464950245
product_class_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.0312322,0.030216,0.054434,0.7070327333333333,0.690555,0.94115,22.637942038451765
product_class_facet_ordinal_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.004881333333333333,0.004848,0.005758,0.7070327333333333,0.690555,0.94115,144.84418191750888
style_facet_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),1103,1103,true,0.7235893000000001,0.688757,1.045192,0.6919227333333333,0.681977,0.961145,0.9562368229233533
sort_title_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),24,24,true,0.10188773333333334,0.090525,0.167695,1.6499709666666666,1.625348,1.907627,16.19400994296991
sort_rating_desc_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),24,24,true,0.3057527666666667,0.294068,0.413975,2.1932567333333335,2.140702,2.68397,7.173301348158965
deep_pagination_under_category_filter,category_leaf,Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,large (1,001-10,000),24,24,true,0.000138,0.000134,0.000198,2.4262622333333335,2.365991,3.024343,17581.610386473432
subtree_browse_depth3_filter_first_page,category_depth_3,Outdoor / Hot Tubs & Saunas / Sauna Accessories,tiny (2-10),6,6,true,0.00013419999999999998,0.000126,0.000219,1.1023255333333335,1.041868,1.884274,8214.050173869848
mixed_color_facet_under_subtree_depth3,category_depth_3,Outdoor / Hot Tubs & Saunas / Sauna Accessories,tiny (2-10),6,6,true,0.0021799000000000002,0.002176,0.002259,0.6369848666666666,0.649776,0.722287,292.2082970166827
subtree_browse_depth3_filter_first_page,category_depth_3,Furniture / Game Tables & Game Room Furniture / Sports Team Fan Shop & Memorabillia,small (11-100),25,25,true,0.000148,0.000143,0.000227,1.8485702666666666,1.847549,2.117747,12490.33963963964
mixed_color_facet_under_subtree_depth3,category_depth_3,Furniture / Game Tables & Game Room Furniture / Sports Team Fan Shop & Memorabillia,small (11-100),25,25,true,0.009348233333333334,0.009336,0.009536,0.6899933333333333,0.6684,0.859887,73.81002471055136
subtree_browse_depth3_filter_first_page,category_depth_3,Baby & Kids / Nursery Bedding / Crib Bedding Sets,medium (101-1,000),132,132,true,0.00025946666666666667,0.00022,0.000591,2.1525615,2.089219,3.823037,8296.1003340185
mixed_color_facet_under_subtree_depth3,category_depth_3,Baby & Kids / Nursery Bedding / Crib Bedding Sets,medium (101-1,000),132,132,true,0.06962916666666667,0.066361,0.102714,1.0060587333333333,0.98274,1.404733,14.448811920292021
subtree_browse_depth3_filter_first_page,category_depth_3,Furniture / Kitchen & Dining Furniture / Bar Furniture,large (1,001-10,000),1063,1063,true,0.00017830000000000002,0.000171,0.00025,2.2895181333333334,2.263385,2.841385,12840.819592447186
mixed_color_facet_under_subtree_depth3,category_depth_3,Furniture / Kitchen & Dining Furniture / Bar Furniture,large (1,001-10,000),1063,1063,true,0.8434995,0.827167,0.984414,1.0004137333333334,0.990027,1.301883,1.1860276542349266
color_facet_under_depth1_crossover_sweep,category_depth_1,Rugs,large (1,001-10,000),2002,2002,true,1.2623876,1.243506,1.440053,1.0204757,1.005129,1.228459,0.8083695530596149
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Rugs,large (1,001-10,000),2002,2002,true,0.023611,0.022627,0.050707,1.0204757,1.005129,1.228459,43.220350684003215
color_facet_under_depth1_crossover_sweep,category_depth_1,Storage & Organization,large (1,001-10,000),2175,2175,true,1.6182375333333334,1.606264,1.725844,1.0815527666666667,1.048957,1.772826,0.6683522933983774
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Storage & Organization,large (1,001-10,000),2175,2175,true,0.029371400000000002,0.026498,0.061175,1.0815527666666667,1.048957,1.772826,36.82333040531492
color_facet_under_depth1_crossover_sweep,category_depth_1,Lighting,large (1,001-10,000),2072,2072,true,1.2955368333333332,1.296735,1.366766,1.1091052666666665,0.991379,4.045487,0.8560970542327305
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Lighting,large (1,001-10,000),2072,2072,true,0.012857366666666667,0.012635,0.020726,1.1091052666666665,0.991379,4.045487,86.26224136098371
color_facet_under_depth1_crossover_sweep,category_depth_1,Outdoor,large (1,001-10,000),3394,3394,true,2.8883167999999997,2.851765,3.481454,1.0796662,1.073518,1.914936,0.3738046325112259
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Outdoor,large (1,001-10,000),3394,3394,true,0.0717602,0.068164,0.108028,1.0796662,1.073518,1.914936,15.045473674822533
color_facet_under_depth1_crossover_sweep,category_depth_1,Décor & Pillows,large (1,001-10,000),4612,4612,true,4.483910666666667,4.104032,6.140253,1.1101157,1.098377,1.271076,0.24757756844992154
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Décor & Pillows,large (1,001-10,000),4612,4612,true,0.1992035666666667,0.19109,0.293817,1.1101157,1.098377,1.271076,5.572770199730359
color_facet_under_depth1_crossover_sweep,category_depth_1,Home Improvement,large (1,001-10,000),4686,4686,true,3.7576627666666664,3.596189,5.65325,1.0981427666666665,1.081034,1.263201,0.2922409047475016
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Home Improvement,large (1,001-10,000),4686,4686,true,0.08605296666666666,0.082877,0.106302,1.0981427666666665,1.081034,1.263201,12.761242397608605
color_facet_under_depth1_crossover_sweep,category_depth_1,Furniture,huge (>10,000),16039,16039,true,18.807719733333336,18.913245,19.850442,1.1364032333333334,1.122883,1.260349,0.060422169696587986
color_facet_ordinal_under_depth1_crossover_sweep,category_depth_1,Furniture,huge (>10,000),16039,16039,true,0.24246953333333332,0.232477,0.292284,1.1364032333333334,1.122883,1.260349,4.686787728382646
