tenant_count,replica_index,cumulative_products,rss_kb,linear_prediction_rss_kb,ratio_to_linear,build_ms_cumulative
100,1,82866,104448,104544,0.999,1201.44
200,3,165728,208852,209088,0.999,2376.83
300,5,248568,313076,313632,0.998,3579.24
400,7,331045,415732,418176,0.994,4749.95
500,9,403848,520176,522720,0.995,5806.53
600,10,455813,575396,574992,1.001,6717.78
700,12,538679,679884,679536,1.001,7997.36
800,14,621535,784176,784080,1.000,9283.13
900,16,704320,888080,888624,0.999,10571.50
1000,18,785548,991060,993168,0.998,11809.20
1100,19,828760,1046408,1045440,1.001,12489.95
1200,21,911626,1150892,1149984,1.001,13774.11
1300,23,994488,1255316,1254528,1.001,15171.07
1400,25,1077328,1359556,1359072,1.000,16428.73
1500,27,1159805,1462212,1463616,0.999,17691.89
1600,29,1232608,1566656,1568160,0.999,18915.49
1700,30,1284573,1621884,1620432,1.001,19735.99
1800,32,1367439,1726372,1724976,1.001,21380.37
1900,34,1450295,1830664,1829520,1.001,22707.95
2000,36,1533080,1934544,1934064,1.000,23983.32
2100,38,1614308,2037532,2038608,0.999,25206.35
2200,39,1657520,2092872,2090880,1.001,25858.26
2300,41,1740386,2197348,2195424,1.001,27111.10
2400,43,1823248,2301756,2299968,1.001,28396.65
2500,45,1906088,2405964,2404512,1.001,29744.42
2600,47,1988565,2508616,2509056,1.000,31008.91
2700,49,2061368,2613072,2613600,1.000,32117.62
2800,50,2113333,2668308,2665872,1.001,32872.84
2900,52,2196199,2772832,2770416,1.001,34264.39
3000,54,2279055,2877140,2874960,1.001,35979.32
3100,56,2361840,2981036,2979504,1.001,37253.98
3200,58,2443068,3083996,3084048,1.000,38412.70
3300,59,2486280,3139328,3136320,1.001,39050.23
3400,61,2569146,3243788,3240864,1.001,40253.11
3500,63,2652008,3348204,3345408,1.001,41453.59
3600,65,2734848,3452444,3449952,1.001,42634.63
3700,67,2817325,3555108,3554496,1.000,43910.34
3800,69,2890128,3659552,3659040,1.000,45051.62
3900,70,2942093,3714788,3711312,1.001,45855.42
4000,72,3024959,3819312,3815856,1.001,47216.04
4100,74,3107815,3925820,3920400,1.001,48695.10
4200,76,3190600,4027516,4024944,1.001,49979.94
4300,78,3271828,4130484,4129488,1.000,51253.06
4400,79,3315040,4185812,4181760,1.001,52011.45
4500,81,3397906,4290272,4286304,1.001,53449.66
4600,83,3480768,4394672,4390848,1.001,54797.22
4700,85,3563608,4498912,4495392,1.001,56035.46
4800,87,3646085,4601584,4599936,1.000,57517.73
4900,89,3718888,4706028,4704480,1.000,58880.85
5000,90,3770853,4761256,4756752,1.001,59634.38
5100,92,3853719,4865768,4861296,1.001,61215.56
5200,94,3936575,4970068,4965840,1.001,63085.40
5300,96,4019360,5073948,5070384,1.001,64779.03
5400,98,4100588,5176900,5174928,1.000,66519.35
5500,99,4143800,5232236,5227200,1.001,67307.97
5600,101,4226666,5336728,5331744,1.001,68649.19
5700,103,4309528,5441144,5436288,1.001,69957.70
5800,105,4392368,5545364,5540832,1.001,71283.18
5900,107,4474845,5648008,5645376,1.000,72610.74
6000,109,4547648,5752436,5749920,1.000,73800.36
6100,110,4599613,5807660,5802192,1.001,74523.69
6200,112,4682479,5912184,5906736,1.001,75802.11
6300,114,4765335,6016508,6011280,1.001,77188.12
6400,116,4848120,6120404,6115824,1.001,78443.94
6500,118,4929348,6223372,6220368,1.000,79819.00
