run,condition,p50_ms,p99_ms,n,churns_completed,churns_per_sec
1,true_baseline,1.2308,1.7130,500,,
1,idle_churn,1.4882,11.2406,500,5,1.00
1,burst_churn,1.5232,5.9964,500,6,1.20
2,true_baseline,1.4325,2.0387,500,,
2,idle_churn,1.4493,9.5026,500,5,1.00
2,burst_churn,1.4704,5.8759,500,6,1.20
3,true_baseline,1.4513,1.8630,500,,
3,idle_churn,1.4761,6.7227,500,5,1.00
3,burst_churn,1.4956,6.0435,500,7,1.40
4,true_baseline,1.4432,2.1757,500,,
4,idle_churn,1.4414,2.1552,500,5,1.00
4,burst_churn,1.4760,9.1420,500,5,1.00
5,true_baseline,1.4296,2.0557,500,,
5,idle_churn,1.4445,2.2435,500,5,1.00
5,burst_churn,1.5385,8.5740,500,7,1.40
6,true_baseline,1.4378,2.0864,500,,
6,idle_churn,1.4543,2.2324,500,5,1.00
6,burst_churn,1.5141,9.4547,500,6,1.20
7,true_baseline,1.4807,2.2197,500,,
7,idle_churn,1.4478,1.8251,500,5,1.00
7,burst_churn,1.4557,8.6816,500,4,0.80
8,true_baseline,1.4754,1.8918,500,,
8,idle_churn,1.4347,1.8295,500,5,1.00
8,burst_churn,1.5182,6.2649,500,5,1.00
9,true_baseline,1.4318,1.7125,500,,
9,idle_churn,1.4138,1.6880,500,5,1.00
9,burst_churn,1.4713,9.4833,500,7,1.40
10,true_baseline,1.4223,1.9073,500,,
10,idle_churn,1.4150,1.9683,500,5,1.00
10,burst_churn,1.4504,5.7802,500,4,0.80
