run,condition,p50_ms,p99_ms,n
1,true_baseline,2.6095,3.4196,500
1,idle_noisy,3.3096,6.7663,500
1,burst_noisy,5.0238,12.0996,500
2,true_baseline,2.7108,3.4086,500
2,idle_noisy,3.4753,6.3946,500
2,burst_noisy,4.8628,11.9509,500
3,true_baseline,2.6437,3.5035,500
3,idle_noisy,3.2313,6.6930,500
3,burst_noisy,4.9563,12.1692,500
4,true_baseline,2.6228,3.3857,500
4,idle_noisy,3.1896,6.3133,500
4,burst_noisy,4.9251,11.6122,500
5,true_baseline,2.6748,3.3216,500
5,idle_noisy,3.4265,7.1543,500
5,burst_noisy,4.7658,12.3558,500
6,true_baseline,2.7118,3.5484,500
6,idle_noisy,3.6687,7.1454,500
6,burst_noisy,5.1446,12.1774,500
7,true_baseline,2.7020,3.3815,500
7,idle_noisy,3.3060,6.8429,500
7,burst_noisy,5.0483,12.1410,500
8,true_baseline,2.6418,3.2530,500
8,idle_noisy,3.3661,6.2831,500
8,burst_noisy,5.1614,12.5660,500
9,true_baseline,2.6324,3.2831,500
9,idle_noisy,3.5359,7.4100,500
9,burst_noisy,4.8847,11.8849,500
10,true_baseline,2.6564,3.3558,500
10,idle_noisy,3.4917,6.7176,500
10,burst_noisy,5.1782,12.5244,500
