run,condition,rugs_p50_ms,rugs_p99_ms,solr_p50_ms,solr_p99_ms
1,baseline,1.4334,2.0697,2.6293,3.3236
1,native_churn,1.5045,2.2101,2.7003,4.1452
1,solr_noisy,1.5148,3.2716,3.5830,8.3153
1,combined,1.6071,6.9709,4.1783,9.3551
2,baseline,1.4479,2.0250,2.6292,3.5747
2,native_churn,1.4674,2.2076,2.6484,3.9688
2,solr_noisy,1.4935,3.1123,3.6028,7.5273
2,combined,1.7243,6.7701,4.2355,9.7261
3,baseline,1.5106,2.1693,2.7152,3.5934
3,native_churn,1.5067,2.1186,2.7431,3.7502
3,solr_noisy,1.5307,3.5519,3.7137,7.1666
3,combined,1.4817,5.3176,3.9623,9.2198
4,baseline,1.4897,1.9966,2.6130,3.4185
4,native_churn,1.4854,2.0611,2.6144,3.4152
4,solr_noisy,1.4431,3.2858,3.5973,8.2892
4,combined,1.5988,5.9199,3.8002,9.0789
5,baseline,1.4479,2.0620,2.5924,3.4055
5,native_churn,1.4448,2.0830,2.5539,3.4693
5,solr_noisy,1.4519,2.6249,3.4202,8.1225
5,combined,1.5837,6.0504,3.9171,9.4200
6,baseline,1.4675,2.0499,2.5860,3.2793
6,native_churn,1.4981,2.1608,2.6238,7.6437
6,solr_noisy,1.4479,3.5427,3.5444,8.7152
6,combined,1.5505,6.2041,4.0489,9.4447
7,baseline,1.4627,2.0990,2.5863,3.2636
7,native_churn,1.4650,2.1179,2.6200,6.2922
7,solr_noisy,1.4746,3.3211,3.6400,8.2377
7,combined,1.6011,6.0383,4.0965,9.2778
8,baseline,1.4556,2.0561,2.6282,3.4159
8,native_churn,1.5024,2.0147,2.5950,3.5524
8,solr_noisy,1.4696,2.6940,3.5442,8.1307
8,combined,1.6152,6.2439,4.0043,8.9185
9,baseline,1.4412,1.9488,2.5475,3.1985
9,native_churn,1.4606,1.8518,2.5263,3.2303
9,solr_noisy,1.5056,3.3168,3.5505,8.1117
9,combined,1.6169,6.0432,3.9520,9.7367
10,baseline,1.4630,2.0555,2.6373,3.5496
10,native_churn,1.5208,1.9959,2.7236,5.6042
10,solr_noisy,1.4803,2.9597,3.4414,7.8889
10,combined,1.5362,5.3245,3.9797,9.2303
